Feature,Category,Fiction (%),Non-Fiction (%),Ratio,p-value
family,social,0.53,0.15,3.53,***
Exclam,linguistic,0.07,0.02,3.50,***
shehe,linguistic,5.92,1.92,3.09,***
body,biological,1.28,0.50,2.56,***
home,social,0.71,0.29,2.43,***
sexual,social,0.18,0.08,2.19,***
see,perceptual,1.26,0.59,2.14,***
hear,perceptual,0.65,0.31,2.13,***
past,linguistic,6.49,3.11,2.09,***
feel,perceptual,0.77,0.37,2.07,***
friend,social,0.18,0.10,1.89,***
percept,perceptual,2.81,1.49,1.89,***
anx,affective,0.47,0.26,1.81,***
ppron,linguistic,8.73,4.90,1.78,***
bio,biological,2.23,1.27,1.76,***
ingest,biological,0.30,0.18,1.67,***
social,social,11.81,7.69,1.54,***
sad,affective,0.60,0.39,1.53,***
motion,relative,2.23,1.49,1.50,***
assent,oral,0.03,0.02,1.50,***
