Feature,Category,Fiction (%),History (%),Ratio,p-value
Exclam,linguistic,0.08,0.02,4.00,***
hear,perception,0.67,0.19,3.53,***
see,perception,1.30,0.37,3.51,***
feel,perception,0.84,0.26,3.21,***
percept,perception,2.95,0.92,3.20,***
shehe,linguistic,6.95,2.25,3.09,***
body,biological,1.27,0.41,3.09,***
sexual,biological,0.19,0.06,3.08,***
assent,oral,0.03,0.01,3.00,***
QMark,linguistic,0.09,0.03,3.00,***
home,social,0.73,0.26,2.84,***
anx,affective,0.56,0.24,2.38,***
bio,biological,2.25,0.98,2.30,***
ingest,biological,0.30,0.14,2.14,***
ppron,linguistic,8.42,4.17,2.02,***
sad,affective,0.69,0.36,1.92,***
friend,social,0.17,0.09,1.89,***
family,social,0.45,0.26,1.75,***
discrep,cognitive,1.27,0.74,1.72,***
social,social,12.04,7.00,1.72,***
