Feature,Category,Fiction (%),History (%),Ratio,p-value
I,linguistic,2.16,0.09,24,***
Exclam,linguistic,0.57,0.04,14.13,***
Self,linguistic,2.61,0.32,8.16,***
QMark,linguistic,0.46,0.06,7.67,***
Sexual,biological,0.17,0.03,5.67,***
Posfeel,affective,0.43,0.08,5.38,***
See,perception,0.2,0.04,5,***
Senses,perception,0.29,0.07,4.07,***
Friends,social,0.31,0.08,3.81,***
Sleep,biological,0.11,0.03,3.5,***
Physical,biological,1.72,0.49,3.5,***
You,linguistic,2.07,0.64,3.23,***
Body,biological,1.32,0.41,3.22,***
Assent,oral,0.16,0.05,3.2,***
Hear,perception,0.03,0.01,3,***
Humans,social,0.75,0.27,2.76,***
Pronoun,linguistic,11.14,4.05,2.75,***
Othref,linguistic,9.31,4.42,2.11,***
We,linguistic,0.4,0.19,2.11,***
Family,social,0.72,0.35,2.06,***
