Feature,Category,3P Novels (%),History (%),Ratio,P-Value
you,linguistic,0.20,0.03,6.67,***
body,biological,1.84,0.41,4.48,***
QMark,linguistic,0.21,0.05,4.20,***
shehe,linguistic,6.87,2.07,3.32,***
feel,perceptual,1.12,0.34,3.28,***
ingest,biological,0.59,0.20,2.93,***
hear,perceptual,0.70,0.24,2.92,***
percept,perceptual,3.64,1.28,2.84,***
bio,biological,3.10,1.12,2.76,***
see,perceptual,1.44,0.56,2.57,***
home,social,0.94,0.37,2.56,***
assent,oral,0.05,0.02,2.50,***
ppron,linguistic,9.05,3.84,2.36,***
sexual,biological,0.18,0.08,2.25,***
I,linguistic,0.18,0.09,1.94,***
family,social,0.47,0.26,1.81,***
pronoun,linguistic,13.13,7.60,1.73,***
social,social,12.33,7.25,1.70,***
present,linguistic,2.13,1.47,1.45,***
period,linguistic,6.64,4.66,1.43,***
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
