Feature,Category,Novel (%),Other Fiction (%),Ratio,P-Value
QMark,linguistic,0.54,0.33,1.65,***
assent,oral,0.17,0.11,1.57,**
Period,linguistic,4.92,3.82,1.29,***
present,linguistic,4.45,3.52,1.27,***
discrep,cognitive,1.61,1.31,1.23,***
shehe,linguistic,5.82,4.92,1.18,*
negate,cognitive,1.68,1.43,1.18,***
see,perception,1.16,1.00,1.16,*
verb,linguistic,12.91,11.17,1.16,***
percept,perception,3.14,2.74,1.15,**
hear,perception,1.12,0.98,1.14,*
insight,cognitive,2.15,1.90,1.13,**
tentat,cognitive,2.27,2.01,1.13,**
auxverb,linguistic,7.78,6.93,1.12,***
past,linguistic,6.20,5.54,1.12,*
feel,perception,0.68,0.61,1.11,.
future,linguistic,1.20,1.09,1.10,*
adverb,linguistic,3.74,3.41,1.10,*
excl,cognitive,2.26,2.09,1.08,*
social,social,13.29,12.37,1.07,*
