Discrepancy,Frequency (per 100K),G2,Insight,Frequency (per 100K),G2
want,84.11,2086.73,think,154.93,3241.93
would,348.14,1534.14,know,183.74,1564.75
if,315.85,1213.5,realiz,5.41,1524.74
wouldnt,13.15,978.85,thought,139.88,801.93
could,246.67,738.47,seem,120.01,730.36
couldnt,10.73,683.5,felt,64.81,557.08
shouldnt,5.09,638.09,sens,31.39,547.27
rather,51.37,472.47,feel,86.05,483.08
must,131.82,439.63,meant,15.03,465.98
mustnt,2.58,386.01,recogn,3.78,434.78
hope,68.91,362.06,conscious,18.16,422.69
ought,23.95,292.34,rememb,38.16,413.15
neednt,2.5,268.92,believ,57.45,369.91
should,148.47,175.96,idea,30.27,331.38
ideal,3.36,149.13,knew,65.63,318.91
wish,65.77,142.12,question,36.44,267.27
normal,0.85,136.66,understand,28.38,235.23
problem,1.99,112.16,decid,14.48,197.34
oughtnt,0.72,105,mean,64.27,162.91
need,28.78,99.08,percept,3.82,122.36
,,,,,
Negation,Frequency (per 100K),G2,Tentative,Frequency (per 100K),G2
dont,107.1,6643.46,like,195.81,1262.54
cant,34.32,2369.73,someth,62.9,1091.98
isnt,13.82,1375.74,quit,74.78,1003.91
didnt,21.55,1322.7,ani,162.81,829.51
doesnt,8.48,961.32,anyth,43.52,527.88
havent,7.74,834.73,vagu,8.38,470.24
wont,24.89,747.67,suppos,38,391.83
not,715.73,559.28,hope,68.91,362.06
never,149.5,414.82,almost,51.55,357.66
arent,2.41,378.8,hard,45.05,317.18
shant,3.19,376.61,perhap,48.76,311.51
no,332.1,341.8,sort,28.85,308.24
hadnt,5.22,324.28,might,118.27,269.19
wasnt,6.94,294.65,question,36.44,267.27
noth,86,268.27,guess,11.43,242.72
hasnt,2.51,233.4,possibl,36.26,180.39
werent,1.25,157.7,somehow,5.94,179.07
aint,6.25,58.15,chanc,19.99,142.57
nobody,10.45,49.32,anybodi,7.05,141.16
negat,1.25,44.62,anyon,3.27,116.36
