STORY.ID,PUB..DATE,COLLECTION,GENRE,X..PREDICATE,X..AGENT,X..PATIENT,X..POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,CONCRETENESS,ABTRACTION,OBJECTIVITY,DISTINCTIVENESS.AwSaid,DISTINCTIVENESS.AwoSaid,DEPTH,CLASS.SIMILIARITY,HOMOGENEITY,DISTINCTIVENESS.BwStop,DISTINCTIVENESS.BwoStop,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,DISTRIBTION,MENTIONS,POPULATION,PROTAG..NAME,PROTAG..GENDER,AUTH_GENDER,cog_per,cog_per_norm,GENRE
10961,1949,klab,DNE,0.0271836007,0.8034759358,0.0499108734,0.11942959,9.85,23.37,0.0043047783,0,0.0249677142,0.0111924236,0.5880327163,0.3237193285,7.5777362863,7.8890817363,0.7885338803,0.6829641815,0.6960752307,2.0294076478,1.405947594,0.0314248816,0.002582867,0.0520878175,0.0060266896,0.0977184675,0.0090400344,3.0056417489,2,3.3252697109,1602.2435921535,0.7518740461,Ish,M,M,0.3314184675,4.4553734146,scifi
23428,1990,klab,DNE,0.0289672544,0.701511335,0.0680100756,0.201511335,5.41,19.22,0.0073484385,0.5,0.0257195346,0.0061236987,0.5688916105,0.3723208818,6.4264632414,6.7001491475,0.805016367,0.7049354128,0.6609174801,1.6404473441,1.1743031659,0.0691977955,0.0036742192,0.0416411513,0.0012247397,0.1206368647,0.0146968769,2.5948717949,7,2.4674942883,1962.305126813,1.2926911244,Troi,F,M,0.3128368647,3.9936914994,scifi
21049,1972,klab,DNE,0.0303490137,0.8270106222,0.0561456753,0.0864946889,6.68,16.17,0.0014814815,0.125,0.1318518519,0.0103703704,0.6251851852,0.2562962963,12.5506342141,5.1219292685,0.8796810375,0.8870712117,0.6705592216,2.1746005132,1.6745245773,0.0340740741,0,0.042962963,0.0014814815,0.1333333333,0.0133333333,1.9043887147,2,2.0516342476,1091.8674698795,1.7113910186,Jacqueline,F,F,0.2950333333,3.551341689,mystery
20298,1957,klab,DNE,0.036233094,0.6675571882,0.0619469027,0.2342628152,7.53,16.84,0.0045669548,0,0.0495840809,0.0068504322,0.6516065895,0.4004240744,9.0082383087,8.3266273275,0.8581227085,0.8308125595,0.6387525052,2.1848453443,1.5145627501,0.0782906541,0.0088076986,0.0500733975,0.0024465829,0.1182515087,0.0030990051,3.941509434,3,3.5081824252,1088.5859152581,0.173701279,Dagny,F,F,0.2866515087,3.3430853359,scifi
22096,1983,klab,DNE,0.0325757576,0.8318181818,0.0522727273,0.0833333333,6.2,15.16,0.0082028337,1,0.019388516,0.0134228188,0.6137211037,0.3929903057,5.1787395115,5.3536433897,0.8705282103,0.644127242,0.4752437316,2.0121274355,1.4027018981,0.0611483967,0.0082028337,0.0678598061,0.0052199851,0.1349739001,0.009694258,3.09375,4,2.9993192756,1150.7248827085,1.0566803331,Inanna,F,F,0.2865739001,3.3411570584,scifi
21667,1979,klab,DNE,0.0558312655,0.729528536,0.0955334988,0.1191066998,10.25,18.12,0.0552220888,0,0.0600240096,0.0276110444,0.5954381753,0.2521008403,5.8708616008,5.5881139907,0.8827429727,0.7790165416,0.6758801268,1.9554142968,1.481904209,0.0276110444,0.0012004802,0.0396158463,0.0012004802,0.1044417767,0.0084033613,2.3036253776,3,2.8539767997,2655.2678773528,1.7411592638,Kirk,M,M,0.2856417767,3.3179973492,scifi
23547,1973,klab,DNE,0.0252986648,0.7301475755,0.0920590302,0.1524947294,9.75,18.16,0.014794889,0,0.0517821116,0.0134498991,0.5595158036,0.2817753867,7.4348437171,7.1585628723,0.847058506,0.8128498981,0.6502136883,1.7961288382,1.3823163595,0.030934768,0.0067249496,0.0369872226,0.0053799597,0.1028917283,0.0094149294,1.5135135135,2,2.6982588845,2284.3307542502,1.3158587294,Marian,F,F,0.2844917283,3.2894230355,mystery
1382,1897,klab,DNE,0.019047619,0.6585034014,0.1183673469,0.2040816327,7.58,18.35,0.0066225166,0.125,0.0410596026,0.0079470199,0.5337748344,0.3509933775,6.5742872159,6.7591602776,0.8364667399,0.6988102411,0.3828180286,1.7335324489,1.2027379141,0.0331125828,0.0013245033,0.0357615894,0.0066225166,0.1006622517,0.0079470199,1.6196868009,4,1.6819629392,1802.9235251637,2.4902258635,Paul,M,M,0.2841622517,3.2812367994,mystery
10608,1940,klab,DNE,0.0177059276,0.8090839107,0.0477290223,0.1254811393,5.43,18.87,0.0075414781,0.5,0.1093514329,0.0052790347,0.6259426848,0.3016591252,10.2213562288,11.8831732771,0.7423355278,0.7830279387,0.697387878,2.2312270739,1.6190819352,0.0490196078,0.0113122172,0.04826546,0.0052790347,0.0897435897,0.0060331825,1.4198988196,2,2.7002324335,1348.5241278938,1.137035521,Rita,F,F,0.2784435897,3.1391498732,adventure/war
22941,1988,klab,DNE,0.0450581395,0.7281976744,0.0755813953,0.1511627907,7.57,16.41,0.0134656272,0.5,0.0269312544,0.0170092133,0.5669737775,0.3267186393,4.727042629,4.5929685535,0.9516708276,0.7311364749,0.7082759309,1.6740994031,1.1722775507,0.0375620128,0.0056697378,0.0588235294,0.0056697378,0.1133947555,0.02551382,1.1490825688,2,1.9427074538,1565.3048036189,1.1967162107,Francesca,F,F,0.2774947555,3.1155749645,mystery
