"","X.2","X.1","STORY.ID","PUB..DATE","COLLECTION","GENRE","X..PREDICATE","X..AGENT","X..PATIENT","X..POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","CONCRETENESS","ABTRACTION","OBJECTIVITY","DISTINCTIVENESS.AwSaid","DISTINCTIVENESS.AwoSaid","DEPTH","CLASS.SIMILIARITY","HOMOGENEITY","DISTINCTIVENESS.BwStop","DISTINCTIVENESS.BwoStop","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","DISTRIBTION","MENTIONS","POPULATION","PROTAG..NAME","PROTAG..GENDER","X","cog_per"
"6420",6420,6434,"2001_2011_Wilson,RobertCharles_TheChronoliths_SF",2001,"contemporary","scifi",0.025466893,0.6315789474,0.103565365,0.2393887946,8.78,4.23,0.006514658,0.625,0.0993485342,0.0081433225,0.6416938111,0.3501628664,13.3059256223,3.6220592519,0.8384719994,0.8592420631,0.5279370742,1.6304350325,1.1877528203,0.0553745928,0.0081433225,0.0635179153,0.0081433225,0.0537459283,0.003257329,1.3107476636,12,0.8211381511,672.3232904293,1.1984372378,"Ashlee","F",NA,0.0960459283
"6421",6421,6435,"2001_Martel,Yann_LifeofPi_BS",2001,"contemporary","bestsellers",0.0601750547,0.5645514223,0.0864332604,0.2888402626,8.17,4.92,0,0.625,0,0.0157068063,0.6136125654,0.4115183246,4.2291356518,4.2291356518,0.8565302978,0.4260182725,0.1105231384,1.5010450474,1.0420567676,0.1015706806,0.0062827225,0.0691099476,0.0073298429,0.0837696335,0.0041884817,7.5447154472,3,3.9491409018,898.3803982691,0.9680823257,"Richard Parker","M",NA,0.1329696335
"6422",6422,6436,"2002_2011_Anderson,MT_Feed_SF",2002,"contemporary","scifi",0.0289855072,0.7004830918,0.0531400966,0.2173913043,3.69,2.76,0.0046082949,0.125,0.2165898618,0.0046082949,0.6912442396,0.3133640553,8.833480402,3.4590287327,0.7709590803,0.8049569536,0.5407241624,2.7414873001,2.2619983576,0.1013824885,0.0092165899,0.0599078341,0,0.0138248848,0.0046082949,2.9047619048,2,3.3137571152,397.938300614,1.8949442886,"Violet","F",NA,0.0414248848
"6423",6423,6438,"2002_Card,OrsonScott_FirstMeetingsInEnder'sUniverse",2002,"contemporary","young-adult",0.072407045,0.6673189824,0.1311154599,0.1291585127,10.21,6.05,0.0226415094,0.125,0.0377358491,0.0264150943,0.6452830189,0.3377358491,3.8510102167,3.1351428237,0.8382908118,0.7650900668,0.6251169266,1.6391435954,1.1960250508,0.0452830189,0.0037735849,0.0641509434,0.0056603774,0.0773584906,0.0094339623,1.604519774,3,2.2417053893,1739.663093415,2.0418580909,"Ender","M",NA,0.1378584906
"6424",6424,6439,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS",2002,"contemporary","bestsellers",0.075,0.6675,0.125,0.1325,7.84,1.96,0.0048899756,0.125,0.1075794621,0.0268948655,0.6063569682,0.3716381418,10.4796079615,2.6220172116,0.8179612251,0.8775961408,0.7711435005,1.8242161002,1.4037508396,0.0684596577,0.0097799511,0.075794621,0.0073349633,0.0709046455,0.0048899756,1.1087420043,5,1.2392409508,476.011793085,1.0720986331,"Mary","F",NA,0.0905046455
"6425",6425,6440,"2002_Sebold,Alice_LovelyBones_BS",2002,"contemporary","bestsellers",0.0407166124,0.7345276873,0.0912052117,0.1335504886,6.68,6.04,0.0063795853,0.625,0.1084529506,0.0127591707,0.5996810207,0.346092504,12.0494747941,5.019708138,0.7998137379,0.9147005857,0.7690359247,1.7759659509,1.2252048472,0.0462519936,0.014354067,0.0637958533,0.0079744817,0.0797448166,0.009569378,1.1956521739,6,0.9438313662,657.9350646697,1.0216382992,"Ruth","F",NA,0.1401448166
"6426",6426,6441,"2003_Hosseini,Khaled_TheKiteRunner_BS",2003,"contemporary","bestsellers",0.0475609756,0.5951219512,0.0932926829,0.2640243902,7.73,2.97,0.0089392133,0.125,0.0703218117,0.0131108462,0.5929678188,0.4195470799,14.6100928751,4.6958593267,0.8513057371,0.9194665168,0.6765791762,1.4822377259,1.0430786581,0.0810488677,0.021454112,0.0393325387,0.0077473182,0.0429082241,0.0017878427,2.7215619694,9,2.8141112612,1500.2199324293,0.9358826777,"Baba","M",NA,0.0726082241
"6427",6427,6442,"2003_Landay,William_MissionFlats_MY",2003,"contemporary","mystery",0.0501138952,0.6776765376,0.1002277904,0.1719817768,8.01,5.56,0.0144927536,0.75,0.0602006689,0.0122630992,0.596432553,0.3400222965,8.2698062707,4.4586595952,0.8387931508,0.8833562871,0.4950598004,1.3121397624,0.9921628159,0.0691192865,0.0234113712,0.0657748049,0.005574136,0.0479375697,0.0078037904,1.6841121495,8,1.2118836396,782.416895342,0.8683872312,"Gittens","M",NA,0.1035375697
"6428",6428,6443,"2003_Low,Gennita_IntoDanger_ROM",2003,"contemporary","romance",0.0405040504,0.7290729073,0.0846084608,0.1458145815,12.23,10.45,0.0516411379,0.125,0.0249452954,0.0166301969,0.589059081,0.313785558,9.2439735463,9.8382344637,0.8309609773,0.7563218467,0.6281990055,1.4813361042,1.004900999,0.0612691466,0.0078774617,0.0350109409,0.0078774617,0.0914660832,0.0096280088,1.0903268551,2,2.6227630041,3712.6926861266,0.8199409643,"Marlena","F",NA,0.1959660832
"6429",6429,6444,"2004_Mitchell,David_CloudAtlas_BS",2004,"contemporary","bestsellers",0.0655487805,0.5899390244,0.0838414634,0.2606707317,6.61,9.01,0.0029895366,0.625,0.0254110613,0.0149476831,0.5739910314,0.4275037369,5.0384238948,3.8684420054,0.8688358243,0.7430005149,0.2641070159,1.0711893496,0.7516545448,0.067264574,0.0149476831,0.0478325859,0.0029895366,0.0298953662,0.0029895366,2.3345588235,2,2.7651364913,391.4171767418,0.6164050027,"Luisa","F",NA,0.1199953662
"6430",6430,6445,"2004_Picoult,Jodi_MySistersKeeper_BS",2004,"contemporary","bestsellers",0.0542874769,0.5373226403,0.0937692782,0.3146206046,8.3,3.77,0.0029137529,0.5,0.0431235431,0.0174825175,0.5815850816,0.4143356643,8.3055773908,5.5916601862,0.8548666747,0.8847702788,0.7865371735,1.5571867637,1.0920807205,0.1188811189,0.0104895105,0.0483682984,0.0075757576,0.0268065268,0.0040792541,1.1036623215,2,2.1223737223,1384.7783420044,0.7788404623,"Kate","F",NA,0.0645065268
"6431",6431,6446,"2005_Banville,John_TheSea_PW",2005,"contemporary","prizewinners",0.0765957447,0.5787234043,0.0936170213,0.2510638298,8.86,6.33,0.0336134454,0.625,0.0630252101,0.0420168067,0.5798319328,0.4075630252,5.486817584,3.5706962822,0.8482277948,0.7250273554,0.384075609,1.6405255291,1.217408845,0.1176470588,0.0336134454,0.0630252101,0.0168067227,0.0420168067,0,1.6946778711,2,2.2571326719,985.2617864995,1.6285318785,"Chloe","F",NA,0.1053168067
"6432",6432,6447,"2005_Barfoot,Joan_Luck_PW",2005,"contemporary","prizewinners",0.0592678675,0.6240557815,0.0685647879,0.248111563,9.07,10.6,0.016510732,0,0.0434782609,0.0187121629,0.576224546,0.331315355,7.5552286323,5.6836542912,0.829351842,0.8868521519,0.686058457,1.6894439605,1.2250444986,0.0456796918,0.0033021464,0.0484314805,0.0055035773,0.0374243258,0.0055035773,1.3084179971,4,1.567327081,2044.6349595156,1.1340182804,"Nora","F",NA,0.1434243258
"6433",6433,6448,"2005_Barnes,Julian_ArthurGeorge_PW",2005,"contemporary","prizewinners",0.0629345042,0.6304427369,0.0728137578,0.2338090011,9.26,16.03,0.0027758501,0.125,0.013185288,0.0183900069,0.5451075642,0.3296321999,6.9435013458,7.1234551554,0.8454560002,0.69255255,0.4411484568,1.7909199972,1.2506684,0.0246356697,0.0117973629,0.0336571825,0.0038167939,0.0392088827,0.0187369882,1.2302895323,2,2.6464608268,1756.4611314611,0.6359381359,"George","M",NA,0.1995088827
"6434",6434,6449,"2005_Barry,Sebastian_LongLongWay_PW",2005,"contemporary","prizewinners",0.0671441361,0.5948970457,0.1042972247,0.2336615936,9.07,12.49,0.0085910653,0,0.0846219931,0.02104811,0.6052405498,0.3659793814,12.7051413186,8.2247682143,0.8096209206,0.8940607287,0.7963825104,1.8958774758,1.3314069163,0.0687285223,0.0111683849,0.0506872852,0.006443299,0.074742268,0.0073024055,12.3041237113,5,4.0503596151,2564.3780282114,1.0743100244,"Willie","M",NA,0.199642268
"6435",6435,6450,"2005_Bergen,David_TheTimeinBetween_PW",2005,"contemporary","prizewinners",0.012829912,0.7338709677,0.0601173021,0.1931818182,6.06,8.47,0.0042523033,0,0.0946137491,0.0038979447,0.635719348,0.3851878101,13.2643020142,4.9637434869,0.8080728668,0.9343906815,0.8825695302,2.019539164,1.3302931126,0.0878809355,0.0099220411,0.0722891566,0.0035435861,0.0878809355,0.0038979447,1.6942321056,2,2.747860676,3103.6765454731,1.2730420613,"Ada","F",NA,0.1725809355
"6436",6436,6451,"2005_Boyden,Joseph_ThreeDayRoad_PW",2005,"contemporary","prizewinners",0.0349986642,0.6788672188,0.06759284,0.2185412771,8.3,6.58,0.0082325701,0.375,0.061487008,0.0082325701,0.5996912786,0.3889889375,11.5089332368,5.9624090375,0.8248097261,0.9256695637,0.468772833,1.8251285804,1.1986303814,0.0866992539,0.0118343195,0.0632878827,0.0061744276,0.0324157448,0.0036017494,14.184501845,2,4.0809082122,2766.741521276,0.7197558588,"Elijah","M",NA,0.0982157448
"6439",6439,6454,"2005_Connelly,Michael_TheLincolnLawyer_BS",2005,"contemporary","bestsellers",0.0603813559,0.6292372881,0.1271186441,0.1832627119,7.45,5,0.0081799591,0,0.0685071575,0.0204498978,0.6226993865,0.3333333333,7.7674863869,3.658013476,0.8251846013,0.9148906421,0.6500113318,1.5264556129,1.102900332,0.0756646217,0.0071574642,0.063394683,0.0020449898,0.063394683,0.0061349693,1.7820945946,3,2.3624468522,775.6668529247,0.7352292445,"Roulet","M",NA,0.113394683
