"Austen","PROTAG.NAME","PROTAG.GENDER","Combination","Combination_Class","Combination_Class2","STORY.ID","Short_Title","Author_Gender","Canonicity","PUB..DATE","GENRE","PREDICATE","AGENT","PATIENT","POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","DESCRIPTIVENESS","ABSTRACTION","DISTINCTIVENESS_SKEW","DISTINCTIVENESS_SKEW.woSaid.","DEPTH","CLASS.SIMILARITY","HOMOGENEITY","DISTINCTIVENESS_KL","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","MENTIONS","POPULATION","SOCIO","COMM","COG_PER","COG_PER_RATIO"
"","Julia","F","f_F","Female_Female","Female_Female","Chadwyck_1790_Radcliffe_ASicilianRomance","1790_Radcliffe_ASicilianRomance","f","can",1790,"rom",0.032542747,0.528405957,0.111969112,0.327082184,0.1473,0.104,0.00378583,0.875,0.012979989,0.009734992,0.548945376,5.533570044,5.676907759,0.882769703,0.634660861,0.240496585,0.924014843,0.045970795,0.003244997,0.053001623,0.000540833,0.061114116,0.007030828,2.704477612,2,2707.832091,1.494388571,-0.10021417,-0.048134127,0.165114116,1.70173450598549
"","Sandford","M","f_M","All","Mixed","Chadwyck_1791_Inchbald_ASimpleStory","1791_Inchbald_ASimpleStory","f","can",1791,"rom",0.046044864,0.548406139,0.13931523,0.266233766,0.1358,0.0764,0.013706454,0.5,0.04111936,0.015990862,0.606510565,8.386637058,8.894854234,0.917708204,0.705854977,0.705297639,1.312237096,0.031981725,0.004568818,0.041690463,0.001713307,0.042261565,0.004568818,1.05399061,4,1783.178943,0.992861327,-0.062693546,-0.001142205,0.118661565,1.80778918149387
"","Adeline","F","f_F","Female_Female","Female_Female","Chadwyck_1791_Radcliffe_TheRomanceof","1791_Radcliffe_TheRomanceof","f","can",1791,"rom",0.027861123,0.555936562,0.124089156,0.292113159,0.1436,0.1114,0.006263048,0.625,0.029645094,0.011064718,0.546346555,7.002884864,5.533623713,0.845351808,0.812269911,0.707258697,1.088813431,0.031106472,0.001043841,0.058663883,0.003131524,0.073695198,0.01085595,3.434682964,3,3412.446016,0.758996,-0.105136952,-0.044050104,0.185095198,1.51163173481127
"","George","M","m_M","All","Male_Male","Chadwyck_1792_Bage_ManAsHe","1792_Bage_ManAsHe","m","non",1792,"rom",0.068228808,0.569951757,0.144727774,0.217091661,0.1137,0.1164,0.007970774,0,0.10959814,0.025240784,0.574892062,21.73801887,7.764641218,0.896290071,0.871704772,0.714792087,1.360357588,0.016605779,0.00298904,0.044503487,0.002324809,0.0405181,0.01129193,4.405775076,2,2001.007751,0.690240687,-0.108429226,0.06908004,0.1569181,2.87279018512714
"","Mr. Bull","M","m_M","All","Male_Male","Chadwyck_1792_Belknap_TheForesters","1792_Belknap_TheForestersan","m","non",1792,"rom",0.0484375,0.44375,0.1,0.4078125,0.0906,0.0393,0.006033183,0.125,0.009049774,0.019607843,0.494720965,5.040357249,5.103743936,0.825779971,0.446660514,0.208643227,0.917301666,0.018099548,0.001508296,0.009049774,0.006033183,0.031674208,0.012066365,5.619469027,3,1992.907134,3.138436431,-0.033266817,-0.022624434,0.070974208,1.24075714852918
"","Frank","M","m_M","All","Male_Male","Chadwyck_1792_Holcroft_AnnaStIves","1792_Holcroft_AnnaStIves","m","non",1792,"rom",0.288135593,0.528813559,0.138983051,0.044067797,0.1884,0.0881,0.003039514,0.25,0.012158055,0.136778116,0.328267477,6.191719428,6.262919161,0.748185329,0.469757519,0.412292973,1.407797624,0.015197568,0,0.024316109,0.006079027,0.042553192,0.018237082,1.741209564,2,239.7720553,0.537605505,-0.085060486,-0.030395137,0.130653192,2.0703499751558
"","Teague","M","m_M","All","Male_Male","Chadwyck_1793_Brackenridge_ModernChivalry","1793_Brackenridge_ModernChivalry","m","non",1793,"rom",0.130597015,0.593283582,0.21641791,0.059701493,0.0839,0.0979,0.021052632,0.125,0.045614035,0.049122807,0.449122807,4.652002384,4.498457864,0.818989726,0.699352749,0.148386056,1.214456323,0.010526316,0.003508772,0.042105263,0.003508772,0.045614035,0.003508772,5.79245283,2,411.8980854,0.670843787,-0.076847368,0,0.143514035,2.14626923489667
"","Orlando","M","f_M","All","Mixed","Chadwyck_1793_Smith_TheOldManor","1793_Smith_TheOldManor","f","can",1793,"rom",0.218032787,0.485245902,0.257377049,0.039344262,0.2047,0.0828,0.003120125,0.75,0.070202808,0.132605304,0.44773791,8.444781805,6.013293416,0.872525694,0.81327104,0.582341261,1.23327096,0.004680187,0,0.048361935,0.007800312,0.065522621,0.020280811,1.405852417,2,379.6230523,0.461267378,-0.079679875,0.004680187,0.148322621,1.26368571245036
"LadySusan","Frederica","F","f_F","Female_Female","Female_Female","Chadwyck_1794_Austen_LadySusanin","1794_Austen_LadySusanin","f","can",1794,"rom",0.113636364,0.426136364,0.244318182,0.215909091,0.102,0.1071,0.015228426,0.25,0.005076142,0.035532995,0.395939086,3.164502923,3.151211753,0.845068626,0.42545568,0.230780087,1.491116627,0.020304569,0,0.060913706,0.005076142,0.050761421,0.005076142,1.196153846,3,950.6781213,4.360908813,-0.091871574,-0.045685279,0.157861421,2.10987001329218
"","Mr. Falkland","M","m_M","All","Male_Male","Chadwyck_1794_Godwin_ThingsAsThey","1794_Godwin_ThingsAsThey","m","can",1794,"rom",0.081377152,0.500782473,0.095461659,0.322378717,0.1346,0.0989,0.004470939,0.375,0.011177347,0.023099851,0.52533532,5.011672728,5.112932822,0.886534411,0.704075924,0.352127806,0.76812762,0.018628912,0,0.041728763,0.002980626,0.034277198,0.017883756,2.055306428,2,1036.796863,0.754034082,-0.094429061,-0.023099851,0.133177198,2.88530001781359
