Austen,Austen_Title,Austen_Title2,PROTAG.NAME,PROTAG.GENDER,Combination,Combination_Class,Combination_Class2,STORY.ID,Short_Title,Author_Gender,Canonicity,PUB..DATE,GENRE,PREDICATE,AGENT,PATIENT,POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,DESCRIPTIVENESS,ABSTRACTION,DISTINCTIVENESS_SKEW,DISTINCTIVENESS_SKEW.woSaid.,DEPTH,CLASS.SIMILARITY,HOMOGENEITY,DISTINCTIVENESS_KL,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,MENTIONS,POPULATION,SOCIO,COMM,COG_PER,COG_PER_RATIO
,,,Julia,F,f_F,Female_Female,Female_Female,Chadwyck_1790_Radcliffe_ASicilianRomance,1790_Radcliffe_ASicilianRomance,f,can,1790,rom,-0.8815501765,0.1586758608,-0.4352940225,0.7242508685,0.9222742881,1.0473825256,-0.5267377391,1.8485649702,-0.8505111593,-0.7711906203,-0.0463681593,-0.7164891798,0.0937166069,0.9060196762,-0.6471637562,-1.356591162,-0.7935857673,0.0263171281,-0.4630743914,0.3281222284,-0.7950487765,0.9292846646,-0.263288128,0.6130722283,-0.6884936001,2.2919882498,0.7112911519,-1.1419240256,-1.0704821317,1.2694123519,-0.1743540918
,,,Sandford,M,f_M,All,Mixed,Chadwyck_1791_Inchbald_ASimpleStory,1791_Inchbald_ASimpleStory,f,can,1791,rom,-0.6617165153,0.4660761902,0.1045767403,0.0552101023,0.6111235952,-0.0379146393,0.3179187768,0.5669068524,-0.301978473,-0.6015766971,1.0113239346,-0.0894381853,1.6530571738,1.6235640778,-0.1940094933,0.7666764042,0.1338656322,-0.4598244377,-0.222788172,-0.3175131866,-0.6550221958,-0.2298418315,-0.6457063664,-0.7483892032,0.6198003611,1.0330330446,0.0546583577,0.163455208,-0.2141703236,-0.1429780748,-0.0704074572
,,,Adeline,F,f_F,Female_Female,Female_Female,Chadwyck_1791_Radcliffe_TheRomanceof,1791_Radcliffe_TheRomanceof,f,can,1791,rom,-0.9577736713,0.5818178625,-0.1960184734,0.3397593066,0.8221649348,1.3383679974,-0.3158237557,0.994126225,-0.5256512037,-0.7351380739,-0.0941184138,-0.3935611467,0.0242845554,0.1375550795,0.4833271138,0.7756347549,-0.399886849,-0.4902408174,-0.8626053351,0.6513212269,-0.4856469455,1.7028174081,0.3308591001,1.2154074315,-0.0343466195,3.2513505474,-0.2515336687,-1.3131924297,-0.9960608914,1.8769374141,-0.3606782043
,,,George,M,m_M,All,Male_Male,Chadwyck_1792_Bage_ManAsHe,1792_Bage_ManAsHe,m,non,1792,rom,-0.3005303672,0.7972296802,0.2114319166,-0.4851173649,0.013173133,1.5349798026,-0.1704254528,-1.1419706379,1.0329074117,-0.3507857504,0.4303714314,2.8449468826,1.1053827427,1.1836922749,0.8616331051,0.8100481938,0.2488240544,-0.9941620645,-0.5095330439,-0.1569471688,-0.5819915494,-0.3370366869,0.3985788508,2.0164464311,-0.6884936001,1.3296163767,-0.3415526932,-1.4277338646,1.0654567915,1.0202123772,0.9734246008
,,,Mr. Bull,M,m_M,All,Male_Male,Chadwyck_1792_Belknap_TheForesters,1792_Belknap_TheForestersan,m,non,1792,rom,-0.6227609995,-1.1424757521,-0.6715898516,1.6118971582,-0.6118339112,-1.4967742342,-0.3353947999,-0.7147512654,-0.9271245062,-0.503510347,-1.0426774185,-0.8248881666,-0.1840249924,-0.2643986869,-1.8437957738,-1.5021011632,-0.8096233472,-0.9422513084,-0.7783022941,-2.180627561,-0.1391067339,-0.8807927837,0.5188700229,3.0176039693,-0.0343466195,1.3185870367,2.8637878566,1.1872399124,-0.6056309316,-1.5929127943,-0.6261686366
,,,Frank,M,m_M,All,Male_Male,Chadwyck_1792_Holcroft_AnnaStIves,1792_Holcroft_AnnaStIves,m,non,1792,rom,3.2798647429,0.1649406532,0.0980188176,-2.3875500384,2.0342998083,0.422156985,-0.5902801808,-0.2875318928,-0.8665334672,2.6732995434,-4.1010628996,-0.5718402025,0.3776838385,-1.8579874035,-1.6967821319,-0.5718044334,0.3621568874,-1.0430995493,-1.0520724968,-1.3092327144,-0.1336316628,-0.2119114951,1.4773530205,-0.1815128208,-0.6884936001,-1.0683821069,-0.541392816,-0.614712527,-0.7472328167,0.2216275025,0.1869344352
,,,Teague,M,m_M,All,Male_Male,Chadwyck_1793_Brackenridge_ModernChivalry,1793_Brackenridge_ModernChivalry,m,non,1793,rom,0.7149127142,1.1558369514,1.6267482847,-2.2156543623,-0.7931130105,0.8075161232,0.9433831745,-0.7147512654,-0.214361868,0.2967218889,-1.8804895069,-0.9102413333,-0.4773322721,-0.4038523597,-0.2353965138,-1.7773632257,-0.0997297222,-1.2054326966,-0.4151966968,-0.2938366079,-0.4405928569,-0.0237192328,-0.8103608251,3.1602956571,-0.6884936001,-0.8340250812,-0.3669484036,-0.3289701129,-0.1933564563,0.6126616038,0.2613446534
,,,Orlando,M,f_M,All,Mixed,Chadwyck_1793_Smith_TheOldManor,1793_Smith_TheOldManor,f,can,1793,rom,2.1384913933,-0.5046888588,2.4353691506,-2.4394862691,2.4753220948,0.2137484714,-0.5834168417,1.4213455976,0.2649575065,2.5601630789,-1.9059353472,-0.0766590528,0.2567211209,0.6956348257,0.4896993521,0.2049967625,-0.0547821148,-1.4085946156,-1.0520724968,0.0632911335,0.0719384846,1.2003363093,1.7948006523,-0.4581437914,-0.6884936001,-0.877968933,-0.6413397645,-0.4275158039,-0.1080715984,0.7588667247,-0.6036958221
Austen,LadySusan,,Frederica,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Austen_LadySusanin,1794_Austen_LadySusanin,f,can,1794,rom,0.4387692023,-1.413195164,2.1775592308,-0.4981199632,-0.3033888764,1.1692818449,0.447501711,-0.2875318928,-1.0045841991,-0.0717354686,-2.8576773213,-1.2371660118,-1.1301757953,0.1317392702,-1.9787656486,-1.4009773029,0.561203504,-0.8656234581,-1.0520724968,0.7797400103,-0.2534045169,0.2927616243,-0.5669049195,-0.6311209287,-0.0343466195,-0.1004527875,4.464329932,-0.8516769452,-1.0258579204,1.0488940647,0.2256689364
,,,Mr. Falkland,M,m_M,All,Male_Male,Chadwyck_1794_Godwin_ThingsAsThey,1794_Godwin_ThingsAsThey,m,can,1794,rom,-0.0864566333,-0.2658936797,-0.7611863939,0.6725352895,0.5786556968,0.8468384843,-0.4684065513,0.1396874798,-0.8856508239,-0.4088323603,-0.4801749443,-0.8311924901,-0.1795722761,0.9833368212,-0.2053332585,-0.8466462105,-1.1659957001,-0.9238551002,-1.0520724968,-0.3153270416,-0.5036684377,-0.7207510642,1.4224717217,0.0775808682,-0.6884936001,0.0168015996,-0.2580301414,-0.9406544211,-0.6142942332,0.2983699383,0.9856857765
,,,Mr. Trevor,M,m_M,All,Male_Male,Chadwyck_1794_Holcroft_TheAdventuresof,1794_Holcroft_TheAdventuresof,m,non,1794,rom,0.4806382948,-0.9124563883,0.7351127662,-0.0812528693,0.7680517708,0.5243951237,-0.3680435738,-1.1419706379,-0.6630062349,-0.3458256059,-1.4128122856,-0.8004166212,0.0198465504,1.1312924866,-0.6653164522,-0.9942008251,-0.0478062644,-0.6877248231,-0.026594446,-1.8909764708,-0.1849033083,-0.2229977007,0.3997445849,-0.6331995506,-0.0343466195,-1.0957990259,-0.606236629,-0.6143575199,-0.5536890069,0.2951981785,0.2557097133
,,,Emily,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Radcliffe_TheMysteriesof,1794_Radcliffe_TheMysteriesof,f,can,1794,rom,-0.9578216364,0.7188418801,-0.3923143475,0.3510935476,0.4271388376,1.2321976226,-0.3963090947,-1.1419706379,-0.28288714,-0.7972386655,-0.1664675309,0.5475151224,0.4589350023,0.7697499917,0.7469860336,0.8742587931,-0.1261906586,-0.8197206853,-0.7142455599,0.3381524673,-0.563265072,2.1414655328,0.1451805773,5.1126593696,-0.6884936001,3.6524855673,-0.7830643109,-1.2521451516,-0.899130323,2.0117644621,-0.5241890075
,,,Charlotte Temple,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_CharlotteATale,1794_Rowson_CharlotteATale,f,non,1794,rom,0.4268326733,1.9531909219,1.1752550662,-2.340058454,3.8092115874,-1.7956241781,-0.8490688724,0.5669068524,0.6958573799,1.8847029125,0.6090259628,-1.0568455934,-0.9300207429,-0.5809857125,-0.8786571585,-0.9893154524,2.8451819021,-1.0365993801,-1.0520724968,1.6935469841,-0.8596395442,1.9012796786,-1.3553701497,-0.3330337747,-0.6884936001,-0.8279675529,5.927229018,1.2417510094,0.0869901847,-0.4481984351,-1.4383546291
,,,Marian,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_MentoriaorThe,1794_Rowson_MentoriaorThe,f,non,1794,rom,0.2584970513,-1.5784482194,0.4926899259,0.6802122069,2.4536768293,-1.3237558456,-0.4357607573,0.1396874798,-0.0626246083,0.8074818324,-0.0537486817,-0.703987936,-1.2587725549,-0.5826371212,-0.4885389352,-1.1147168671,0.4491887996,1.4653030714,0.7101566481,-0.4805043413,-0.27989049,-0.4405230237,3.9227541029,-0.7404759154,-0.6884936001,-0.7630673951,2.0564643871,0.9931475129,0.0720202105,-1.2414082203,-0.7393553705
,,,Rebecca,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_TheFillede,1794_Rowson_TheFillede,f,non,1794,rom,-0.3278324553,-0.4057820429,-0.2332532857,0.6415865722,0.2106861816,-0.1047626531,-0.3267285901,-1.1419706379,0.1793556639,-0.1278460374,0.114937541,0.9997754162,-0.2895126823,0.0454847611,0.950270212,0.3523094951,-0.424522433,0.4057031101,0.0614832686,-0.4050902713,-0.3267748174,0.0179112645,0.377230618,1.8195473595,-0.6884936001,1.9709129912,0.6630674631,-0.040819502,0.1623538761,-0.0721475594,-0.2606387363
,,,Mr. Valmont,M,f_M,All,Mixed,Chadwyck_1795_Fenwick_SecresyOrThe,1795_Fenwick_SecresyOrThe,f,non,1795,rom,0.945956346,-1.1383959106,1.0510829575,-0.4098380083,1.3308286763,-0.5766309856,0.2485191128,0.5669068524,-0.8522391539,0.6126038567,-1.842377696,-0.645998521,0.2920172232,-0.8537672579,-1.0635971293,-0.760208193,-1.1085980078,-1.3152417234,-0.3835288985,-0.2794519447,-0.1998146486,-0.4504169355,0.6470120759,-0.7618950853,-0.0343466195,-0.5447002283,0.0462083259,0.6117331427,-0.6631823348,-0.6686057136,-0.253245808
,,,Mr. Rooksby,M,f_M,All,Mixed,Chadwyck_1795_Rowson_Trialsofthe,1795_Rowson_Trialsofthe,f,non,1795,rom,2.5448409516,0.2966546398,-0.9852499367,-1.3820801767,2.626838954,0.6698878596,0.6063408721,1.4213455976,-0.6037041985,1.282197065,-0.6315991153,-0.773237349,0.1652437333,-0.0580916926,-1.1246346316,-0.5329983759,0.2060743927,-1.125705844,-1.0520724968,-1.4775366582,0.1611152405,-2.0399896173,0.6360100628,-0.1261654143,-0.6884936001,-1.1327632191,-0.2038719053,-0.3449257777,0.0402657536,-0.490843412,5.3745787732
,,,Lord Grondale,M,m_M,All,Male_Male,Chadwyck_1796_Bage_HermsprongorMan,1796_Bage_HermsprongorMan,m,non,1796,rom,-0.2356538999,0.6268998623,0.2984711219,-0.4555561103,-0.2222191304,0.4890049987,-0.5914547074,0.994126225,1.2262382189,-0.6249551925,0.9028188256,0.8251353391,0.0921649631,0.3612972409,0.4314059002,-0.0752745967,0.596015965,-0.9929223732,-0.5028754533,-0.9701189795,-0.6789613604,-0.3168023064,-0.4154146348,-0.6185879015,-0.6884936001,-0.4724405619,0.0128741441,-0.6743371325,1.2401861648,0.2214453461,0.3124755311
,,,Camilla,F,f_F,Female_Female,Female_Female,Chadwyck_1796_Burney_Camillaor,1796_Burney_CamillaorA,f,can,1796,rom,-0.4439215648,-0.0557347017,-0.2336087231,0.4697674557,1.3957644731,0.7446003456,-0.1646711666,-0.2875318928,-0.7544078389,-0.1327763307,-0.1437218145,-0.1415501406,1.308580188,0.514549408,0.4236532475,1.2038724307,-0.235971781,-0.248023949,-0.0537824059,-0.3386600017,-0.3712146863,0.1804829194,-0.325839817,0.2810838617,-0.6884936001,1.281487099,-0.8766608406,-0.7260838427,-0.7587149435,0.6649957767,0.086526502
,,,Mr. Montague,M,f_M,All,Mixed,Chadwyck_1796_Hays_MemoirsofEmma,1796_Hays_MemoirsofEmma,f,non,1796,rom,-0.3307670351,-0.6859700211,0.0621886384,0.6794637304,-0.487373634,-0.8282940964,-0.4836547927,-0.7147512654,-0.8525472865,-0.3369504054,-0.0388193328,-1.4696228369,-1.6141278322,-0.0298502211,-1.6512075117,-1.5946662007,0.0051056943,0.0693918215,0.5059498178,-0.0024436224,0.1654961095,-0.1894537374,-0.0220855606,-0.2350895513,3.2363882834,-0.895079105,0.8172898468,0.5352104544,-0.7408144946,-0.7341460912,-0.5565477018
,,,Henry,M,f_M,All,Mixed,Chadwyck_1796_Inchbald_NatureandArt,1796_Inchbald_NatureandArt,f,can,1796,rom,-0.3023036908,-0.3826196235,-0.6913140611,0.8628894611,0.6706480756,0.2845287213,0.0623474111,-1.1419706379,-0.5470774591,0.1016196364,0.6360073395,-0.8375067264,-0.351598834,-0.6485582933,0.0566714733,-0.6132015292,-0.3919062551,-0.6412241155,-0.0805670514,-0.3040202765,-0.6465649999,-0.0858794787,-0.5240000041,-0.4523066246,-0.0343466195,1.8530647939,1.6708940889,-0.2262638036,-0.4859573311,0.177535399,0.0167674518
,,,Antonia,F,m_F,All,Mixed,Chadwyck_1796_Lewis_TheMonk,1796_Lewis_TheMonk,m,can,1796,rom,-0.7984447202,-1.1398387577,-0.0444867264,1.3793944116,1.4038814477,-0.0811692364,-0.2632330614,-0.7147512654,-0.8501806873,-0.5169228413,0.0516739627,-0.7855526487,-0.0609851856,-0.077506291,-0.6846248507,-0.0058302415,-0.6911378757,0.7402166327,-0.3582284569,-0.9952723192,0.1447269304,-0.9480049076,-0.0490978163,-0.664083279,-0.0343466195,-0.0583274392,-0.2474364306,-0.035748195,-0.513783247,-0.5315701063,0.5711034805
