Austen,Austen_Title,Austen_Title2,PROTAG.NAME,PROTAG.GENDER,Combination,Combination_Class,Combination_Class2,STORY.ID,Short_Title,Author_Gender,Canonicity,PUB..DATE,GENRE,PREDICATE,AGENT,PATIENT,POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,DESCRIPTIVENESS,ABSTRACTION,DISTINCTIVENESS_SKEW,DISTINCTIVENESS_SKEW.woSaid.,DEPTH,CLASS.SIMILARITY,HOMOGENEITY,DISTINCTIVENESS_KL,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,MENTIONS,POPULATION,SOCIO,COMM,COG_PER,COG_PER_RATIO
Austen,Emma,Emma,Emma,F,f_F,Female_Female,Female_Female,Chadwyck_1816_Austen_EmmaANovel,1816_Austen_EmmaANovel,f,can,1816,rom,-0.4912602544,1.5057281346,-0.7976397137,-0.3011610056,1.4688172445,2.8444144255,-0.2298582009,-1.1419706379,-0.2607895896,-0.2792621721,-0.4148823273,-0.1624692254,0.7004538528,-0.0493941433,0.7717626738,0.8827074648,0.238254101,-0.8832282002,-0.9053980383,-1.1750640271,-0.1840854633,0.7986797291,0.0880787144,-0.2055073565,-0.0343466195,0.6527015538,-0.4155407294,-2.6105591966,-0.4804993911,2.5943346097,0.6450171314
Austen,P&P,Pride,Elizabeth,F,f_F,Female_Female,Female_Female,Chadwyck_1813_Austen_PrideandPrejudice,1813_Austen_PrideandPrejudice,f,can,1813,rom,-0.5731559034,0.78428371,-0.5763587657,0.1470067951,0.9439195537,2.2270533571,-0.1727464945,0.994126225,-0.38952227,-0.5565318502,-0.856488135,-0.4567282457,0.2867292758,1.7812089183,0.5844531914,0.4034144881,0.1917525903,-1.0804840969,-0.7316672143,-0.7827789066,-0.3852994633,1.7029987238,0.2212123769,-0.0377997657,-0.6884936001,1.0635805856,-0.1692348005,-2.0410035282,-0.8688607473,2.564180377,-0.0601765881
Austen,Persuasion,,Anne,F,f_F,Female_Female,Female_Female,Chadwyck_1818_Austen_PersuasionBythe,1818_Austen_PersuasionBythe,f,can,1818,rom,-0.4576689135,1.5120166274,-0.7596997913,-0.3494748993,0.9060403389,2.6242092037,0.5366972778,0.994126225,-0.621276409,-0.5232385426,-0.9696056409,-0.3195714673,1.0848520375,0.2510656162,0.0811293009,-0.0729449052,-0.4940510413,-0.8472481008,-0.6975615605,-0.6161605776,-0.7818867026,1.0144940808,-0.3441223479,0.7986169636,-0.0343466195,1.0560242264,0.3322248076,-2.1024955742,-0.881446868,2.530791203,0.4175084128
,,,Emily,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Radcliffe_TheMysteriesof,1794_Radcliffe_TheMysteriesof,f,can,1794,rom,-0.9578216364,0.7188418801,-0.3923143475,0.3510935476,0.4271388376,1.2321976226,-0.3963090947,-1.1419706379,-0.28288714,-0.7972386655,-0.1664675309,0.5475151224,0.4589350023,0.7697499917,0.7469860336,0.8742587931,-0.1261906586,-0.8197206853,-0.7142455599,0.3381524673,-0.563265072,2.1414655328,0.1451805773,5.1126593696,-0.6884936001,3.6524855673,-0.7830643109,-1.2521451516,-0.899130323,2.0117644621,-0.5241890075
Austen,Northanger,,Catherine,F,f_F,Female_Female,Female_Female,Chadwyck_1818_Austen_NorthangerAbbeyand,1818_Austen_NorthangerAbbeyand,f,can,1818,rom,-0.4254470193,0.0449059131,-0.8686880855,0.7389972622,1.1874287917,1.7984396216,-0.4974262553,0.994126225,-0.5600947582,-0.0833169837,-0.030310695,-0.5385190468,-0.0403596115,1.040763887,0.6302620264,-0.0088644013,-0.3220515333,-0.5127250216,-0.1150068643,-0.4870845808,-0.4897015364,1.0125102445,-0.6336619494,1.3452411808,-0.0343466195,1.7280186636,0.4101726534,-1.7944542998,-0.8236660432,1.8913048774,0.0891841811
,,,Adeline,F,f_F,Female_Female,Female_Female,Chadwyck_1791_Radcliffe_TheRomanceof,1791_Radcliffe_TheRomanceof,f,can,1791,rom,-0.9577736713,0.5818178625,-0.1960184734,0.3397593066,0.8221649348,1.3383679974,-0.3158237557,0.994126225,-0.5256512037,-0.7351380739,-0.0941184138,-0.3935611467,0.0242845554,0.1375550795,0.4833271138,0.7756347549,-0.399886849,-0.4902408174,-0.8626053351,0.6513212269,-0.4856469455,1.7028174081,0.3308591001,1.2154074315,-0.0343466195,3.2513505474,-0.2515336687,-1.3131924297,-0.9960608914,1.8769374141,-0.3606782043
Austen,Sense,Sense,Elinor,F,f_F,Female_Female,Female_Female,Chadwyck_1811_Austen_SenseandSensibility,1811_Austen_SenseandSensibility,f,can,1811,rom,-0.7976802423,0.4462702291,-0.4242659867,0.4557322648,1.0196779833,1.9360678853,-0.3524855027,0.994126225,-0.0596141609,-0.6326106981,-0.1955309915,0.0811787115,0.6656646415,-2.617253709,0.5627109434,0.5190993079,0.1621680156,-0.6130837177,-0.5708698568,-1.4563254004,-0.4163743495,0.7577682234,0.2917948163,-0.6197210992,-0.6884936001,0.721005261,-0.1418945545,-1.8569962332,-0.2803144525,1.8717472175,0.2852060646
Austen,Mansfield,,Fanny,F,f_F,Female_Female,Female_Female,Chadwyck_1814_Austen_MansfieldParkA,1814_Austen_MansfieldParkA,f,can,1814,rom,-0.5123376294,0.0349289727,-0.4734523324,0.5846906689,1.3335343345,2.0579672046,0.0474942261,0.1396874798,-0.4950533899,-0.4539268777,-0.1199308301,-0.3520004779,0.546875721,-0.1561014962,0.5826543068,0.7568446105,-0.307319215,-0.7478662007,-0.7107607571,-0.8295960304,-0.0960888979,0.0389965807,-0.070222222,0.2827134222,0.6198003611,0.9768060364,-0.423131817,-1.8014063375,-0.4743357108,1.6105552927,0.8836826094
,,,Mary,F,f_F,Female_Female,Female_Female,Chadwyck_1818_Ferrier_MarriageANovel,1818_Ferrier_MarriageANovel,f,non,1818,rom,-0.6096840709,-0.5219426212,-0.6016338319,1.1201916264,0.324323826,1.9006777604,-0.4352128719,0.1396874798,-0.3024359836,-0.4600502411,-0.1784143136,-0.1256229592,0.1752391267,-1.6045037838,0.5366908456,0.1429642708,0.0783779766,0.1179654925,-0.6510348419,-1.2090309561,-0.2791219689,0.1603636981,-0.4630769255,-0.1722851643,-0.6884936001,0.6999866189,-0.3271225017,-1.8594888677,-0.3302468874,1.5489537934,0.6923269257
,,,Sylvia,F,f_F,Female_Female,Female_Female,Chadwyck_1865_Alcott_Moods,1865_Alcott_Moods,f,can,1865,vic,-0.8465121174,0.2047087796,-0.4955839966,0.7012361144,-0.067996613,0.6580911513,-0.376060665,-1.1419706379,-0.8452893779,-0.6643603135,0.6796944822,-0.9223848062,-0.3939997857,1.2298655272,-0.2038195536,0.2943630554,-0.3295647132,1.6662972943,0.3441552466,0.3763276399,0.5694170827,2.0063802112,-0.4924386674,0.3289179258,-0.6884936001,2.2197316669,0.3050467326,-0.7359228359,-1.3848297216,1.5010487796,-0.6693436779
