LEMMA	PROB
tend	9.930304284550783e-05
spine	9.930304284550783e-05
match	9.930304284550783e-05
hustle	9.930304284550783e-05
heave	9.930304284550783e-05
clasp	9.930304284550783e-05
tense	9.846856349386491e-05
rescue	9.846856349386491e-05
peek	9.846856349386491e-05
spirit	9.763408414222198e-05
mine	9.763408414222198e-05
excite	9.763408414222198e-05
mobile	9.679960479057906e-05
mission	9.679960479057906e-05
gain	9.679960479057906e-05
creep	9.679960479057906e-05
sandwich	9.596512543893614e-05
represent	9.596512543893614e-05
pitch	9.596512543893614e-05
judge	9.596512543893614e-05
hoist	9.596512543893614e-05
handsome	9.596512543893614e-05
hammer	9.596512543893614e-05
dash	9.596512543893614e-05
warm	9.513064608729322e-05
quick	9.513064608729322e-05
post	9.513064608729322e-05
frighten	9.513064608729322e-05
footstep	9.513064608729322e-05
fool	9.513064608729322e-05
blue	9.513064608729322e-05
attorney	9.513064608729322e-05
testimony	9.429616673565029e-05
research	9.429616673565029e-05
rape	9.429616673565029e-05
lunch	9.429616673565029e-05
kidnap	9.429616673565029e-05
jog	9.429616673565029e-05
emotion	9.429616673565029e-05
duty	9.429616673565029e-05
capture	9.429616673565029e-05
waste	9.346168738400737e-05
hospital	9.346168738400737e-05
dislike	9.346168738400737e-05
defend	9.346168738400737e-05
bump	9.346168738400737e-05
belong	9.346168738400737e-05
bar	9.346168738400737e-05
anticipate	9.346168738400737e-05
terrify	9.262720803236445e-05
shop	9.262720803236445e-05
mark	9.262720803236445e-05
fumble	9.262720803236445e-05
chat	9.262720803236445e-05
cabin	9.262720803236445e-05
apply	9.262720803236445e-05
air	9.262720803236445e-05
yield	9.179272868072152e-06
yellow	9.179272868072152e-06
womb	9.179272868072152e-06
whispering	9.179272868072152e-06
walkway	9.179272868072152e-06
waffle	9.179272868072152e-06
voicemail	9.179272868072152e-06
violence	9.179272868072152e-06
vain	9.179272868072152e-06
urgent	9.179272868072152e-06
urgency	9.179272868072152e-06
unwind	9.179272868072152e-06
unusual	9.179272868072152e-06
unearth	9.179272868072152e-06
uncross	9.179272868072152e-06
twenty-three	9.179272868072152e-06
tuxedo	9.179272868072152e-06
turf	9.179272868072152e-06
troubled	9.179272868072152e-06
translation	9.179272868072152e-06
transformation	9.179272868072152e-06
toggle	9.179272868072152e-06
tit	9.179272868072152e-06
tights	9.179272868072152e-06
thorough	9.179272868072152e-06
tantrum	9.179272868072152e-06
tangle	9.179272868072152e-06
sweetie	9.179272868072152e-06
surname	9.179272868072152e-06
super	9.179272868072152e-06
sugar	9.179272868072152e-06
succumb	9.179272868072152e-06
successor	9.179272868072152e-06
submerge	9.179272868072152e-06
sturdy	9.179272868072152e-06
states	9.179272868072152e-06
startling	9.179272868072152e-06
stamen	9.179272868072152e-06
sparkle	9.179272868072152e-06
sociopath	9.179272868072152e-06
smite	9.179272868072152e-06
slot	9.179272868072152e-06
slosh	9.179272868072152e-06
slender	9.179272868072152e-06
situate	9.179272868072152e-06
sig	9.179272868072152e-06
shyness	9.179272868072152e-06
shuffling	9.179272868072152e-06
shuck	9.179272868072152e-06
shortcoming	9.179272868072152e-06
shaft	9.179272868072152e-06
sexual	9.179272868072152e-06
setting	9.179272868072152e-06
semester	9.179272868072152e-06
semen	9.179272868072152e-06
self-confidence	9.179272868072152e-06
seizure	9.179272868072152e-06
seduction	9.179272868072152e-06
sea	9.179272868072152e-06
scissors	9.179272868072152e-06
schooling	9.179272868072152e-06
sanctuary	9.179272868072152e-06
salvation	9.179272868072152e-06
rival	9.179272868072152e-06
revere	9.179272868072152e-06
retaliate	9.179272868072152e-06
resignation	9.179272868072152e-06
rep	9.179272868072152e-06
relation	9.179272868072152e-06
reiterate	9.179272868072152e-06
regimen	9.179272868072152e-06
recede	9.179272868072152e-06
reality	9.179272868072152e-06
quicker	9.179272868072152e-06
punctual	9.179272868072152e-06
psycho	9.179272868072152e-06
protégé	9.179272868072152e-06
proposition	9.179272868072152e-06
proffer	9.179272868072152e-06
prettier	9.179272868072152e-06
preoccupation	9.179272868072152e-06
politician	9.179272868072152e-06
plod	9.179272868072152e-06
plight	9.179272868072152e-06
pj	9.179272868072152e-06
perimeter	9.179272868072152e-06
penny	9.179272868072152e-06
