"source","target","weight","type"
"see","ashle",20,"undirected"
"feel","ashle",4,"undirected"
"think","ashle",19,"undirected"
"look","ashle",27,"undirected"
"see","assert",1,"undirected"
"feel","assert",3,"undirected"
"think","assert",4,"undirected"
"look","assert",5,"undirected"
"see","build",157,"undirected"
"feel","build",75,"undirected"
"think","build",82,"undirected"
"look","build",118,"undirected"
"mind","build",25,"undirected"
"see","cargil",1,"undirected"
"see","cheever",1,"undirected"
"see","especi",33,"undirected"
"feel","especi",30,"undirected"
"think","especi",42,"undirected"
"look","especi",31,"undirected"
"mind","especi",9,"undirected"
"see","eye",1486,"undirected"
"feel","eye",724,"undirected"
"think","eye",674,"undirected"
"look","eye",1973,"undirected"
"mind","eye",237,"undirected"
"see","franklin",1,"undirected"
"see","kid",122,"undirected"
"feel","kid",53,"undirected"
"think","kid",110,"undirected"
"look","kid",131,"undirected"
"mind","kid",17,"undirected"
"see","lot",121,"undirected"
"feel","lot",63,"undirected"
"think","lot",142,"undirected"
"look","lot",148,"undirected"
"mind","lot",15,"undirected"
"see","lower",75,"undirected"
"feel","lower",45,"undirected"
"think","lower",40,"undirected"
"look","lower",99,"undirected"
"mind","lower",7,"undirected"
"see","lowertown",1,"undirected"
"see","noth",285,"undirected"
"feel","noth",259,"undirected"
"think","noth",262,"undirected"
"look","noth",278,"undirected"
"mind","noth",63,"undirected"
"see","old",195,"undirected"
"feel","old",128,"undirected"
"think","old",168,"undirected"
"look","old",229,"undirected"
"mind","old",32,"undirected"
"see","said",2547,"undirected"
"feel","said",1447,"undirected"
"think","said",3758,"undirected"
"look","said",4830,"undirected"
"mind","said",433,"undirected"
"see","squatter",3,"undirected"
"think","squatter",2,"undirected"
"see","warehous",17,"undirected"
"feel","warehous",2,"undirected"
"think","warehous",6,"undirected"
"look","warehous",16,"undirected"
"see","certain",99,"undirected"
"feel","certain",107,"undirected"
"think","certain",118,"undirected"
"look","certain",92,"undirected"
"mind","certain",14,"undirected"
"see","doubl",34,"undirected"
"feel","doubl",22,"undirected"
"think","doubl",20,"undirected"
"look","doubl",25,"undirected"
"mind","doubl",7,"undirected"
"see","hitch",7,"undirected"
"feel","hitch",6,"undirected"
"think","hitch",3,"undirected"
"look","hitch",10,"undirected"
"see","home",175,"undirected"
"feel","home",165,"undirected"
"think","home",194,"undirected"
"look","home",129,"undirected"
"mind","home",32,"undirected"
"see","involv",31,"undirected"
"feel","involv",11,"undirected"
"think","involv",32,"undirected"
"look","involv",28,"undirected"
"mind","involv",7,"undirected"
"see","mill",6,"undirected"
"feel","mill",1,"undirected"
"think","mill",3,"undirected"
"look","mill",3,"undirected"
"mind","mill",1,"undirected"
"see","one",1413,"undirected"
"feel","one",646,"undirected"
"think","one",1069,"undirected"
"look","one",1317,"undirected"
"mind","one",207,"undirected"
"see","pick",118,"undirected"
"feel","pick",72,"undirected"
"think","pick",112,"undirected"
"look","pick",179,"undirected"
"mind","pick",22,"undirected"
"see","s",3995,"undirected"
"feel","s",2428,"undirected"
"think","s",3796,"undirected"
"look","s",4486,"undirected"
"mind","s",1164,"undirected"
"see","saw",644,"undirected"
"feel","saw",320,"undirected"
"think","saw",349,"undirected"
"look","saw",950,"undirected"
"mind","saw",117,"undirected"
"see","take",373,"undirected"
"feel","take",234,"undirected"
"think","take",399,"undirected"
"look","take",463,"undirected"
"mind","take",91,"undirected"
"see","talk",247,"undirected"
"feel","talk",161,"undirected"
"think","talk",249,"undirected"
"look","talk",271,"undirected"
"mind","talk",39,"undirected"
"see","way",670,"undirected"
"feel","way",498,"undirected"
"think","way",744,"undirected"
"look","way",723,"undirected"
"mind","way",149,"undirected"
"see","whit",2,"undirected"
"feel","whit",1,"undirected"
"look","whit",2,"undirected"
"see","adam",8,"undirected"
"feel","adam",6,"undirected"
"think","adam",15,"undirected"
"look","adam",14,"undirected"
"mind","adam",2,"undirected"
"see","agre",67,"undirected"
"feel","agre",43,"undirected"
"think","agre",95,"undirected"
"look","agre",92,"undirected"
"mind","agre",10,"undirected"
"see","behalf",4,"undirected"
"feel","behalf",8,"undirected"
"think","behalf",5,"undirected"
"look","behalf",3,"undirected"
"see","charg",41,"undirected"
"feel","charg",23,"undirected"
"think","charg",29,"undirected"
"look","charg",35,"undirected"
"mind","charg",2,"undirected"
"see","clear",279,"undirected"
"feel","clear",109,"undirected"
"think","clear",192,"undirected"
"look","clear",280,"undirected"
"mind","clear",60,"undirected"
"see","grant",12,"undirected"
"feel","grant",6,"undirected"
"think","grant",13,"undirected"
"look","grant",6,"undirected"
"mind","grant",4,"undirected"
"see","inform",61,"undirected"
"feel","inform",48,"undirected"
"think","inform",55,"undirected"
"look","inform",55,"undirected"
"mind","inform",30,"undirected"
"see","kait",2,"undirected"
"feel","kait",2,"undirected"
"think","kait",2,"undirected"
"look","kait",1,"undirected"
"see","made",454,"undirected"
"feel","made",466,"undirected"
"think","made",538,"undirected"
"look","made",586,"undirected"
"mind","made",104,"undirected"
"see","other",143,"undirected"
"feel","other",75,"undirected"
"think","other",110,"undirected"
"look","other",138,"undirected"
"mind","other",29,"undirected"
"see","permiss",6,"undirected"
"feel","permiss",6,"undirected"
"think","permiss",9,"undirected"
"look","permiss",6,"undirected"
"see","reluct",25,"undirected"
"feel","reluct",18,"undirected"
"think","reluct",20,"undirected"
"look","reluct",41,"undirected"
"mind","reluct",9,"undirected"
"see","speak",113,"undirected"
"feel","speak",68,"undirected"
"think","speak",106,"undirected"
"look","speak",172,"undirected"
"mind","speak",25,"undirected"
"see","wrist",46,"undirected"
"feel","wrist",42,"undirected"
"think","wrist",25,"undirected"
"look","wrist",56,"undirected"
"mind","wrist",8,"undirected"
"see","catch",58,"undirected"
"feel","catch",44,"undirected"
"think","catch",45,"undirected"
"look","catch",83,"undirected"
"mind","catch",10,"undirected"
"see","fear",135,"undirected"
"feel","fear",172,"undirected"
"think","fear",93,"undirected"
"look","fear",95,"undirected"
"mind","fear",43,"undirected"
"see","good",298,"undirected"
"feel","good",241,"undirected"
"think","good",367,"undirected"
"look","good",361,"undirected"
"mind","good",36,"undirected"
"see","guess",92,"undirected"
"feel","guess",48,"undirected"
"think","guess",95,"undirected"
"look","guess",110,"undirected"
"mind","guess",15,"undirected"
"see","littl",400,"undirected"
"feel","littl",347,"undirected"
"think","littl",332,"undirected"
"look","littl",448,"undirected"
"mind","littl",52,"undirected"
"see","mollifi",1,"undirected"
"mind","mollifi",1,"undirected"
"see","nod",307,"undirected"
"feel","nod",195,"undirected"
"think","nod",344,"undirected"
"look","nod",705,"undirected"
"mind","nod",65,"undirected"
"see","perhap",99,"undirected"
"feel","perhap",62,"undirected"
"think","perhap",133,"undirected"
"look","perhap",100,"undirected"
"mind","perhap",30,"undirected"
"see","reflect",76,"undirected"
"feel","reflect",29,"undirected"
"think","reflect",27,"undirected"
"look","reflect",51,"undirected"
"mind","reflect",10,"undirected"
"see","resent",7,"undirected"
"feel","resent",20,"undirected"
"think","resent",13,"undirected"
"look","resent",6,"undirected"
"mind","resent",2,"undirected"
"see","scott",1,"undirected"
"see","sight",126,"undirected"
"feel","sight",56,"undirected"
"think","sight",51,"undirected"
"look","sight",100,"undirected"
"mind","sight",24,"undirected"
"see","sue",1,"undirected"
"feel","sue",1,"undirected"
"think","sue",2,"undirected"
"look","sue",7,"undirected"
"see","voic",295,"undirected"
"feel","voic",228,"undirected"
"think","voic",290,"undirected"
"look","voic",359,"undirected"
"mind","voic",77,"undirected"
"see","first",595,"undirected"
"feel","first",324,"undirected"
"think","first",477,"undirected"
"look","first",457,"undirected"
"mind","first",102,"undirected"
"see","friend",149,"undirected"
"feel","friend",99,"undirected"
"think","friend",152,"undirected"
"look","friend",175,"undirected"
"mind","friend",28,"undirected"
"see","like",1216,"undirected"
"feel","like",1616,"undirected"
"think","like",1216,"undirected"
"look","like",2143,"undirected"
"mind","like",238,"undirected"
"see","look",2545,"undirected"
"feel","look",892,"undirected"
"think","look",1578,"undirected"
"look","look",2729,"undirected"
"mind","look",211,"undirected"
"see","paley",1,"undirected"
"look","paley",1,"undirected"
"see","see",975,"undirected"
"feel","see",437,"undirected"
"think","see",703,"undirected"
"look","see",1247,"undirected"
"mind","see",140,"undirected"
"see","shot",102,"undirected"
"feel","shot",49,"undirected"
"think","shot",96,"undirected"
"look","shot",164,"undirected"
"mind","shot",18,"undirected"
"see","time",995,"undirected"
"feel","time",690,"undirected"
"think","time",882,"undirected"
"look","time",848,"undirected"
"mind","time",190,"undirected"
"see","behind",462,"undirected"
"feel","behind",245,"undirected"
"think","behind",216,"undirected"
"look","behind",434,"undirected"
"mind","behind",56,"undirected"
"see","breath",224,"undirected"
"feel","breath",325,"undirected"
"think","breath",233,"undirected"
"look","breath",291,"undirected"
"mind","breath",86,"undirected"
"see","briefli",46,"undirected"
"feel","briefli",10,"undirected"
"think","briefli",26,"undirected"
"look","briefli",46,"undirected"
"mind","briefli",10,"undirected"
"see","brown",51,"undirected"
"feel","brown",14,"undirected"
"think","brown",17,"undirected"
"look","brown",46,"undirected"
"mind","brown",3,"undirected"
"see","came",352,"undirected"
"feel","came",189,"undirected"
"think","came",286,"undirected"
"look","came",381,"undirected"
"mind","came",77,"undirected"
"see","destruct",12,"undirected"
"feel","destruct",6,"undirected"
"think","destruct",4,"undirected"
"look","destruct",6,"undirected"
"mind","destruct",2,"undirected"
"see","dust",73,"undirected"
"feel","dust",30,"undirected"
"think","dust",36,"undirected"
"look","dust",44,"undirected"
"mind","dust",8,"undirected"
"see","face",1172,"undirected"
"feel","face",546,"undirected"
"think","face",501,"undirected"
"look","face",1375,"undirected"
"mind","face",130,"undirected"
"see","halt",21,"undirected"
"feel","halt",15,"undirected"
"think","halt",8,"undirected"
"look","halt",15,"undirected"
"mind","halt",6,"undirected"
"see","lip",134,"undirected"
"feel","lip",114,"undirected"
"think","lip",105,"undirected"
"look","lip",169,"undirected"
"mind","lip",22,"undirected"
"see","pant",23,"undirected"
"feel","pant",25,"undirected"
"think","pant",23,"undirected"
"look","pant",35,"undirected"
"mind","pant",2,"undirected"
"see","right",472,"undirected"
"feel","right",401,"undirected"
"think","right",518,"undirected"
"look","right",588,"undirected"
"mind","right",79,"undirected"
"see","river",56,"undirected"
"feel","river",24,"undirected"
"think","river",26,"undirected"
"look","river",28,"undirected"
"mind","river",2,"undirected"
"see","scope",19,"undirected"
"feel","scope",5,"undirected"
"think","scope",11,"undirected"
"look","scope",11,"undirected"
"mind","scope",3,"undirected"
"see","slope",33,"undirected"
"feel","slope",10,"undirected"
"think","slope",4,"undirected"
"look","slope",26,"undirected"
"see","tear",109,"undirected"
"feel","tear",118,"undirected"
"think","tear",77,"undirected"
"look","tear",107,"undirected"
"mind","tear",11,"undirected"
"see","trembl",26,"undirected"
"feel","trembl",41,"undirected"
"think","trembl",13,"undirected"
"look","trembl",36,"undirected"
"mind","trembl",10,"undirected"
"see","cross",78,"undirected"
"feel","cross",28,"undirected"
"think","cross",82,"undirected"
"look","cross",125,"undirected"
"mind","cross",30,"undirected"
"see","dodg",9,"undirected"
"feel","dodg",5,"undirected"
"think","dodg",4,"undirected"
"look","dodg",10,"undirected"
"mind","dodg",1,"undirected"
"see","door",565,"undirected"
"feel","door",237,"undirected"
"think","door",353,"undirected"
"look","door",629,"undirected"
"mind","door",62,"undirected"
"see","left",368,"undirected"
"feel","left",261,"undirected"
"think","left",302,"undirected"
"look","left",354,"undirected"
"mind","left",66,"undirected"
"see","nt",3391,"undirected"
"feel","nt",2169,"undirected"
"think","nt",3887,"undirected"
