source,target,weight,type,pmi
feel,numb,74,undirected,6.0857205072
feel,disori,23,undirected,6.0331536613
feel,surg,80,undirected,5.9804030959
feel,tingl,40,undirected,5.9567613329
feel,safer,17,undirected,5.7849400107
feel,gut,70,undirected,5.7598603263
feel,adrenalin,36,undirected,5.7120452963
feel,scorch,11,undirected,5.7010198263
feel,vibrat,46,undirected,5.6513582973
feel,tension,42,undirected,5.6094761293
feel,rippl,28,undirected,5.6000863889
feel,puls,84,undirected,5.5938751888
feel,stronger,30,undirected,5.5297237395
feel,muscl,78,undirected,5.4983268854
feel,overwhelm,35,undirected,5.4854234806
feel,immun,10,undirected,5.4820956905
feel,panic,65,undirected,5.4696510855
feel,recoil,13,undirected,5.4626088028
feel,awe,18,undirected,5.4366333164
feel,pressur,62,undirected,5.4223982006
feel,uncomfort,48,undirected,5.3869617066
feel,tens,47,undirected,5.3747579127
feel,incred,27,undirected,5.361350256
feel,spike,22,undirected,5.3589243321
feel,weird,41,undirected,5.3559654134
feel,temperatur,19,undirected,5.3418549101
feel,solid,41,undirected,5.3410768009
feel,simpler,3,undirected,5.3312728008
feel,primit,6,undirected,5.3312728008
feel,static,17,undirected,5.2965872428
feel,radiat,21,undirected,5.2578453322
feel,flood,36,undirected,5.2512300931
feel,spine,33,undirected,5.2387212434
feel,relax,70,undirected,5.2385634027
feel,illus,11,undirected,5.211471601
feel,shudder,37,undirected,5.2092943739
feel,toppl,10,undirected,5.2002445384
feel,core,21,undirected,5.1977414081
feel,odd,71,undirected,5.1970374306
feel,conspiraci,7,undirected,5.1730487956
feel,churn,11,undirected,5.1642187161
feel,conflict,12,undirected,5.162937486
feel,instinct,44,undirected,5.1565558434
feel,respond,62,undirected,5.1543420926
feel,effect,58,undirected,5.1518289438
feel,explod,29,undirected,5.148951244
feel,heartbeat,14,undirected,5.148951244
feel,sens,214,undirected,5.1404207541
feel,confin,13,undirected,5.1362122182
feel,tighten,45,undirected,5.1342450966
feel,bodi,417,undirected,5.1109149004
feel,flow,45,undirected,5.1090185336
feel,intens,42,undirected,5.1062262993
feel,outcom,7,undirected,5.1024312283
feel,strength,46,undirected,5.0891795007
feel,lurch,20,undirected,5.0844127228
feel,useless,17,undirected,5.0643938559
feel,burn,113,undirected,5.0520333468
feel,horrifi,12,undirected,5.0435907283
feel,lung,48,undirected,5.040470601
feel,simultan,16,undirected,5.040470601
feel,crystal,13,undirected,5.039751952
feel,disconnect,10,undirected,5.0386031868
feel,impact,26,undirected,5.0226575187
feel,obey,11,undirected,5.0211178725
feel,grip,99,undirected,5.0196374873
feel,energi,40,undirected,5.0164620609
feel,rocket,7,undirected,5.0154198514
feel,shock,84,undirected,5.0136852455
feel,monster,28,undirected,5.0102250345
feel,leak,14,undirected,5.0050570643
feel,cooper,9,undirected,4.9948005641
feel,vast,25,undirected,4.989102543
feel,physic,48,undirected,4.977100987
feel,clench,34,undirected,4.9740097945
feel,frustrat,38,undirected,4.9724948066
feel,conclus,12,undirected,4.9712700667
feel,loyalti,6,undirected,4.9712700667
feel,despit,77,undirected,4.9691581335
feel,punch,43,undirected,4.9557076384
feel,warp,7,undirected,4.9547952295
feel,superior,10,undirected,4.952836365
feel,subtl,10,undirected,4.952836365
feel,territori,11,undirected,4.9441568313
feel,slight,111,undirected,4.9385005195
feel,safe,81,undirected,4.9382302127
feel,graviti,24,undirected,4.9369809933
feel,aliv,76,undirected,4.9346183223
feel,torso,13,undirected,4.9309490922
feel,depth,15,undirected,4.930262043
feel,brain,86,undirected,4.9289132852
feel,increas,29,undirected,4.9281091896
feel,breath,325,undirected,4.9280666524
feel,insid,308,undirected,4.9279745407
feel,slaughter,4,undirected,4.9258076927
feel,instant,74,undirected,4.9258076927
feel,reflex,12,undirected,4.9258076927
feel,expand,15,undirected,4.9213730956
feel,wors,54,undirected,4.9208815743
feel,barrier,13,undirected,4.920692592
feel,swept,30,undirected,4.9169580774
feel,outward,7,undirected,4.9163289487
feel,flicker,34,undirected,4.9141116529
feel,descend,28,undirected,4.9022771953
feel,deep,155,undirected,4.9015872608
feel,sharp,48,undirected,4.9011150801
feel,invad,7,undirected,4.8976368157
feel,surfac,60,undirected,4.8951707232
feel,air,216,undirected,4.8924206766
feel,vacuum,10,undirected,4.8865869795
feel,crawl,50,undirected,4.8814718788
feel,stream,39,undirected,4.8806872574
feel,protect,62,undirected,4.8795809752
feel,compromis,7,undirected,4.879287677
feel,headquart,7,undirected,4.879287677
feel,vent,9,undirected,4.8752554135
feel,necessari,21,undirected,4.8732453626
feel,appropri,11,undirected,4.8726978673
feel,fulli,35,undirected,4.8648469929
feel,mob,6,undirected,4.8612691715
feel,bizarr,7,undirected,4.8612691715
feel,acceler,23,undirected,4.8558491041
feel,probe,12,undirected,4.8509063845
feel,harm,11,undirected,4.8499696163
feel,crunch,10,undirected,4.8488466515
feel,stress,13,undirected,4.8422209766
feel,elimin,6,undirected,4.8406498843
feel,swirl,17,undirected,4.8394501241
feel,isol,11,undirected,4.8387963157
feel,blood,124,undirected,4.8383483873
feel,surround,48,undirected,4.8381021122
feel,greater,14,undirected,4.8348359145
feel,challeng,17,undirected,4.8322816347
feel,extrem,17,undirected,4.8322816347
feel,privaci,12,undirected,4.8304975129
feel,approxim,4,undirected,4.8304975129
feel,perceiv,7,undirected,4.8261778517
feel,ration,13,undirected,4.8235288435
feel,trap,37,undirected,4.8215288429
feel,experi,43,undirected,4.8213778425
feel,flee,9,undirected,4.820447177
feel,awar,73,undirected,4.8160731952
feel,burst,40,undirected,4.8154596355
feel,collaps,31,undirected,4.8101775104
feel,clamp,14,undirected,4.8090834184
feel,power,112,undirected,4.8038007859
feel,frantic,21,undirected,4.8034496006
feel,groan,24,undirected,4.8006445497
feel,gasp,45,undirected,4.7993382138
feel,bubbl,25,undirected,4.7982943724
feel,horror,26,undirected,4.7961298694
feel,fade,35,undirected,4.7956152013
feel,shatter,16,undirected,4.7933185096
feel,imposs,39,undirected,4.7931313664
feel,polici,5,undirected,4.7889485099
feel,trigger,31,undirected,4.7874492593
feel,stun,24,undirected,4.7860457503
feel,harden,11,undirected,4.7847290944
feel,balanc,29,undirected,4.7825536041
feel,smarter,3,undirected,4.7812264639
feel,fabric,21,undirected,4.7812264639
feel,chemic,9,undirected,4.7812264639
feel,environ,9,undirected,4.7812264639
feel,consum,9,undirected,4.7812264639
feel,echo,31,undirected,4.7799865381
feel,blast,28,undirected,4.77985378
feel,handl,44,undirected,4.7638950075
feel,claw,19,undirected,4.761185713
feel,twitch,19,undirected,4.761185713
feel,normal,46,undirected,4.7605389243
feel,beep,8,undirected,4.7574723778
feel,moment,398,undirected,4.7566941402
feel,decis,38,undirected,4.7552509774
feel,roar,24,undirected,4.7527885285
feel,maneuv,15,undirected,4.7509211144
feel,transport,16,undirected,4.7504548052
feel,crouch,33,undirected,4.7502429183
feel,threat,24,undirected,4.7481265154
feel,cavern,5,undirected,4.7434861359
feel,dove,8,undirected,4.7434861359
feel,omin,4,undirected,4.7434861359
feel,guidanc,3,undirected,4.7434861359
feel,strip,29,undirected,4.7396620394
feel,deeper,22,undirected,4.7334358
feel,react,19,undirected,4.7318580979
feel,respons,58,undirected,4.7301652919
feel,encount,20,undirected,4.7269568339
feel,shaft,13,undirected,4.7265365776
feel,atmospher,10,undirected,4.7215072291
feel,broken,53,undirected,4.7206872209
feel,spin,30,undirected,4.7178905887
feel,flex,11,undirected,4.7136331727
