"source","target","weight","type"
"see","cheer",45,"undirected"
"feel","cheer",46,"undirected"
"think","cheer",74,"undirected"
"look","cheer",72,"undirected"
"mind","cheer",27,"undirected"
"see","dinner",75,"undirected"
"feel","dinner",21,"undirected"
"think","dinner",42,"undirected"
"look","dinner",36,"undirected"
"mind","dinner",9,"undirected"
"see","hope",356,"undirected"
"feel","hope",270,"undirected"
"think","hope",359,"undirected"
"look","hope",234,"undirected"
"mind","hope",142,"undirected"
"see","madam",99,"undirected"
"feel","madam",61,"undirected"
"think","madam",94,"undirected"
"look","madam",80,"undirected"
"mind","madam",32,"undirected"
"see","paint",16,"undirected"
"feel","paint",6,"undirected"
"think","paint",12,"undirected"
"look","paint",12,"undirected"
"mind","paint",5,"undirected"
"see","reserv",17,"undirected"
"feel","reserv",20,"undirected"
"think","reserv",18,"undirected"
"look","reserv",17,"undirected"
"mind","reserv",10,"undirected"
"see","till",230,"undirected"
"feel","till",111,"undirected"
"think","till",203,"undirected"
"look","till",150,"undirected"
"mind","till",70,"undirected"
"see","usual",92,"undirected"
"feel","usual",82,"undirected"
"think","usual",91,"undirected"
"look","usual",95,"undirected"
"mind","usual",45,"undirected"
"see","dare",74,"undirected"
"feel","dare",64,"undirected"
"think","dare",83,"undirected"
"look","dare",72,"undirected"
"mind","dare",23,"undirected"
"see","distress",64,"undirected"
"feel","distress",61,"undirected"
"think","distress",55,"undirected"
"look","distress",64,"undirected"
"mind","distress",35,"undirected"
"see","mourn",29,"undirected"
"feel","mourn",26,"undirected"
"think","mourn",51,"undirected"
"look","mourn",63,"undirected"
"mind","mourn",21,"undirected"
"see","pain",150,"undirected"
"feel","pain",189,"undirected"
"think","pain",175,"undirected"
"look","pain",105,"undirected"
"mind","pain",74,"undirected"
"see","urg",29,"undirected"
"feel","urg",33,"undirected"
"think","urg",41,"undirected"
"look","urg",20,"undirected"
"mind","urg",12,"undirected"
"see","want",236,"undirected"
"feel","want",120,"undirected"
"think","want",203,"undirected"
"look","want",139,"undirected"
"mind","want",52,"undirected"
"see","anxieti",66,"undirected"
"feel","anxieti",75,"undirected"
"think","anxieti",51,"undirected"
"look","anxieti",62,"undirected"
"mind","anxieti",36,"undirected"
"see","door",333,"undirected"
"feel","door",87,"undirected"
"think","door",161,"undirected"
"look","door",249,"undirected"
"mind","door",60,"undirected"
"see","everi",326,"undirected"
"feel","everi",298,"undirected"
"think","everi",354,"undirected"
"look","everi",225,"undirected"
"mind","everi",157,"undirected"
"see","long",399,"undirected"
"feel","long",254,"undirected"
"think","long",401,"undirected"
"look","long",311,"undirected"
"mind","long",141,"undirected"
"see","morn",245,"undirected"
"feel","morn",109,"undirected"
"think","morn",164,"undirected"
"look","morn",132,"undirected"
"mind","morn",57,"undirected"
"see","trembl",90,"undirected"
"feel","trembl",83,"undirected"
"think","trembl",91,"undirected"
"look","trembl",93,"undirected"
"mind","trembl",32,"undirected"
"see","watch",191,"undirected"
"feel","watch",94,"undirected"
"think","watch",124,"undirected"
"look","watch",137,"undirected"
"mind","watch",49,"undirected"
"see","dread",97,"undirected"
"feel","dread",109,"undirected"
"think","dread",114,"undirected"
"look","dread",56,"undirected"
"mind","dread",47,"undirected"
"see","expect",186,"undirected"
"feel","expect",100,"undirected"
"think","expect",112,"undirected"
"look","expect",137,"undirected"
"mind","expect",54,"undirected"
"see","mind",324,"undirected"
"feel","mind",312,"undirected"
"think","mind",511,"undirected"
"look","mind",206,"undirected"
"mind","mind",65,"undirected"
"see","fanci",125,"undirected"
"feel","fanci",63,"undirected"
"think","fanci",180,"undirected"
"look","fanci",84,"undirected"
"mind","fanci",48,"undirected"
"see","heart",360,"undirected"
"feel","heart",543,"undirected"
"think","heart",494,"undirected"
"look","heart",255,"undirected"
"mind","heart",131,"undirected"
"see","restless",20,"undirected"
"feel","restless",8,"undirected"
"think","restless",25,"undirected"
"look","restless",14,"undirected"
"mind","restless",14,"undirected"
"see","saw",352,"undirected"
"feel","saw",266,"undirected"
"think","saw",311,"undirected"
"look","saw",525,"undirected"
"mind","saw",112,"undirected"
"see","sunk",27,"undirected"
"feel","sunk",18,"undirected"
"think","sunk",23,"undirected"
"look","sunk",28,"undirected"
"mind","sunk",25,"undirected"
"see","day",487,"undirected"
"feel","day",223,"undirected"
"think","day",438,"undirected"
"look","day",229,"undirected"
"mind","day",141,"undirected"
"see","lip",109,"undirected"
"feel","lip",93,"undirected"
"think","lip",94,"undirected"
"look","lip",138,"undirected"
"mind","lip",26,"undirected"
"see","oppress",19,"undirected"
"feel","oppress",39,"undirected"
"think","oppress",23,"undirected"
"look","oppress",14,"undirected"
"mind","oppress",18,"undirected"
"see","anguish",32,"undirected"
"feel","anguish",35,"undirected"
"think","anguish",29,"undirected"
"look","anguish",28,"undirected"
"mind","anguish",17,"undirected"
"see","indulg",40,"undirected"
"feel","indulg",47,"undirected"
"think","indulg",49,"undirected"
"look","indulg",29,"undirected"
"mind","indulg",36,"undirected"
"see","smile",221,"undirected"
"feel","smile",147,"undirected"
"think","smile",240,"undirected"
"look","smile",354,"undirected"
"mind","smile",45,"undirected"
"see","welcom",31,"undirected"
"feel","welcom",28,"undirected"
"think","welcom",33,"undirected"
"look","welcom",26,"undirected"
"mind","welcom",11,"undirected"
"see","idea",122,"undirected"
"feel","idea",126,"undirected"
"think","idea",174,"undirected"
"look","idea",79,"undirected"
"mind","idea",165,"undirected"
"see","imagin",110,"undirected"
"feel","imagin",83,"undirected"
"think","imagin",108,"undirected"
"look","imagin",67,"undirected"
"mind","imagin",53,"undirected"
"see","yet",353,"undirected"
"feel","yet",303,"undirected"
"think","yet",369,"undirected"
"look","yet",269,"undirected"
"mind","yet",139,"undirected"
"see","affection",33,"undirected"
"feel","affection",39,"undirected"
"think","affection",41,"undirected"
"look","affection",38,"undirected"
"mind","affection",17,"undirected"
"see","leav",192,"undirected"
"feel","leav",127,"undirected"
"think","leav",219,"undirected"
"look","leav",131,"undirected"
"mind","leav",81,"undirected"
"see","repos",14,"undirected"
"feel","repos",12,"undirected"
"think","repos",25,"undirected"
"look","repos",13,"undirected"
"mind","repos",22,"undirected"
"see","servant",67,"undirected"
"feel","servant",28,"undirected"
"think","servant",34,"undirected"
"look","servant",42,"undirected"
"mind","servant",11,"undirected"
"see","spite",49,"undirected"
"feel","spite",56,"undirected"
"think","spite",49,"undirected"
"look","spite",53,"undirected"
"mind","spite",20,"undirected"
"see","emot",72,"undirected"
"feel","emot",100,"undirected"
"think","emot",79,"undirected"
"look","emot",74,"undirected"
"mind","emot",50,"undirected"
"see","exert",23,"undirected"
"feel","exert",39,"undirected"
"think","exert",31,"undirected"
"look","exert",24,"undirected"
"mind","exert",27,"undirected"
"see","irrit",15,"undirected"
"feel","irrit",29,"undirected"
"think","irrit",21,"undirected"
"look","irrit",13,"undirected"
"mind","irrit",20,"undirected"
"see","much",552,"undirected"
"feel","much",499,"undirected"
"think","much",796,"undirected"
"look","much",389,"undirected"
"mind","much",196,"undirected"
"see","promis",106,"undirected"
"feel","promis",50,"undirected"
"think","promis",113,"undirected"
"look","promis",58,"undirected"
"mind","promis",28,"undirected"
"see","recollect",102,"undirected"
"feel","recollect",53,"undirected"
"think","recollect",107,"undirected"
"look","recollect",68,"undirected"
"mind","recollect",70,"undirected"
"see","burst",40,"undirected"
"feel","burst",44,"undirected"
"think","burst",50,"undirected"
"look","burst",46,"undirected"
"mind","burst",9,"undirected"
"see","tear",200,"undirected"
"feel","tear",176,"undirected"
"think","tear",192,"undirected"
"look","tear",226,"undirected"
"mind","tear",45,"undirected"
"see","thought",634,"undirected"
"feel","thought",565,"undirected"
"think","thought",637,"undirected"
"look","thought",503,"undirected"
"mind","thought",389,"undirected"
"see","conscious",67,"undirected"
"feel","conscious",135,"undirected"
"think","conscious",75,"undirected"
"look","conscious",109,"undirected"
"mind","conscious",42,"undirected"
"see","resent",15,"undirected"
"feel","resent",53,"undirected"
"think","resent",28,"undirected"
"look","resent",26,"undirected"
"mind","resent",16,"undirected"
"see","attend",71,"undirected"
"feel","attend",46,"undirected"
"think","attend",55,"undirected"
"look","attend",34,"undirected"
"mind","attend",25,"undirected"
"see","away",300,"undirected"
"feel","away",214,"undirected"
"think","away",352,"undirected"
"look","away",304,"undirected"
"mind","away",82,"undirected"
"see","father",398,"undirected"
"feel","father",245,"undirected"
"think","father",429,"undirected"
"look","father",315,"undirected"
"mind","father",98,"undirected"
"see","room",405,"undirected"
"feel","room",168,"undirected"
"think","room",270,"undirected"
"look","room",329,"undirected"
"mind","room",75,"undirected"
"see","chill",14,"undirected"
"feel","chill",29,"undirected"
"think","chill",22,"undirected"
"look","chill",16,"undirected"
"mind","chill",2,"undirected"
"see","eye",751,"undirected"
"feel","eye",374,"undirected"
"think","eye",497,"undirected"
"look","eye",1074,"undirected"
"mind","eye",136,"undirected"
"see","fix",87,"undirected"
"feel","fix",47,"undirected"
"think","fix",84,"undirected"
"look","fix",133,"undirected"
"mind","fix",41,"undirected"
"see","left",236,"undirected"
"feel","left",151,"undirected"
"think","left",233,"undirected"
"look","left",185,"undirected"
"mind","left",92,"undirected"
"see","littl",651,"undirected"
"feel","littl",438,"undirected"
"think","littl",690,"undirected"
"look","littl",589,"undirected"
"mind","littl",198,"undirected"
"see","delicaci",20,"undirected"
"feel","delicaci",48,"undirected"
"think","delicaci",20,"undirected"
"look","delicaci",9,"undirected"
"mind","delicaci",17,"undirected"
"see","ever",372,"undirected"
"feel","ever",259,"undirected"
"think","ever",320,"undirected"
"look","ever",215,"undirected"
"mind","ever",94,"undirected"
"see","ignor",31,"undirected"
"feel","ignor",28,"undirected"
"think","ignor",33,"undirected"
"look","ignor",16,"undirected"
"mind","ignor",21,"undirected"
"see","suffer",122,"undirected"
"feel","suffer",116,"undirected"
"think","suffer",142,"undirected"
"look","suffer",78,"undirected"
"mind","suffer",70,"undirected"
"see","concern",72,"undirected"
"feel","concern",60,"undirected"
"think","concern",82,"undirected"
"look","concern",62,"undirected"
"mind","concern",39,"undirected"
"see","fear",205,"undirected"
"feel","fear",166,"undirected"
"think","fear",197,"undirected"
"look","fear",186,"undirected"
"mind","fear",109,"undirected"
"see","children",61,"undirected"
"feel","children",44,"undirected"
"think","children",64,"undirected"
"look","children",48,"undirected"
"mind","children",10,"undirected"
"see","eager",99,"undirected"
"feel","eager",63,"undirected"
"think","eager",97,"undirected"
"look","eager",146,"undirected"
"mind","eager",25,"undirected"
"see","never",661,"undirected"
"feel","never",429,"undirected"
"think","never",716,"undirected"
"look","never",357,"undirected"
"mind","never",243,"undirected"
"see","often",150,"undirected"
"feel","often",119,"undirected"
"think","often",189,"undirected"
"look","often",115,"undirected"
"mind","often",65,"undirected"
"see","admir",126,"undirected"
"feel","admir",98,"undirected"
"think","admir",117,"undirected"
"look","admir",119,"undirected"
"mind","admir",40,"undirected"
"see","affect",111,"undirected"
"feel","affect",184,"undirected"
"think","affect",141,"undirected"
"look","affect",81,"undirected"
"mind","affect",73,"undirected"
"see","beauti",218,"undirected"
"feel","beauti",112,"undirected"
"think","beauti",224,"undirected"
"look","beauti",202,"undirected"
"mind","beauti",62,"undirected"
"see","given",90,"undirected"
"feel","given",89,"undirected"
"think","given",110,"undirected"
"look","given",68,"undirected"
"mind","given",27,"undirected"
"see","chamber",80,"undirected"
"feel","chamber",41,"undirected"
"think","chamber",74,"undirected"
"look","chamber",58,"undirected"
"mind","chamber",29,"undirected"
"see","notic",81,"undirected"
"feel","notic",64,"undirected"
"think","notic",86,"undirected"
"look","notic",92,"undirected"
"mind","notic",15,"undirected"
"see","someth",212,"undirected"
"feel","someth",184,"undirected"
"think","someth",248,"undirected"
"look","someth",204,"undirected"
"mind","someth",78,"undirected"
"see","rest",125,"undirected"
"feel","rest",96,"undirected"
"think","rest",139,"undirected"
"look","rest",129,"undirected"
"mind","rest",67,"undirected"
"see","believ",166,"undirected"
"feel","believ",174,"undirected"
"think","believ",255,"undirected"
"look","believ",113,"undirected"
"mind","believ",66,"undirected"
"see","thing",307,"undirected"
"feel","thing",218,"undirected"
"think","thing",391,"undirected"
"look","thing",204,"undirected"
"mind","thing",86,"undirected"
"see","alon",153,"undirected"
"feel","alon",113,"undirected"
"think","alon",186,"undirected"
"look","alon",97,"undirected"
"mind","alon",54,"undirected"
"see","look",1287,"undirected"
"feel","look",539,"undirected"
"think","look",846,"undirected"
"look","look",752,"undirected"
"mind","look",206,"undirected"
"see","spoke",113,"undirected"
"feel","spoke",87,"undirected"
"think","spoke",146,"undirected"
"look","spoke",204,"undirected"
"mind","spoke",42,"undirected"
"see","anxious",124,"undirected"
"feel","anxious",72,"undirected"
"think","anxious",83,"undirected"
"look","anxious",171,"undirected"
"mind","anxious",38,"undirected"
"see","silent",86,"undirected"
"feel","silent",76,"undirected"
"think","silent",111,"undirected"
"look","silent",121,"undirected"
"mind","silent",35,"undirected"
"see","timid",28,"undirected"
"feel","timid",32,"undirected"
"think","timid",33,"undirected"
"look","timid",32,"undirected"
"mind","timid",12,"undirected"
"see","faint",87,"undirected"
"feel","faint",53,"undirected"
"think","faint",51,"undirected"
"look","faint",69,"undirected"
"mind","faint",25,"undirected"
"see","joy",101,"undirected"
"feel","joy",91,"undirected"
"think","joy",90,"undirected"
"look","joy",66,"undirected"
"mind","joy",24,"undirected"
"see","ray",19,"undirected"
"feel","ray",15,"undirected"
"think","ray",15,"undirected"
"look","ray",12,"undirected"
"mind","ray",8,"undirected"
"see","almost",187,"undirected"
"feel","almost",206,"undirected"
"think","almost",195,"undirected"
"look","almost",191,"undirected"
"mind","almost",82,"undirected"
"see","delight",118,"undirected"
"feel","delight",114,"undirected"
"think","delight",83,"undirected"
"look","delight",81,"undirected"
"mind","delight",41,"undirected"
"see","fatigu",22,"undirected"
"feel","fatigu",22,"undirected"
"think","fatigu",23,"undirected"
"look","fatigu",15,"undirected"
"mind","fatigu",14,"undirected"
"see","sink",24,"undirected"
"feel","sink",12,"undirected"
"think","sink",18,"undirected"
"look","sink",11,"undirected"
"mind","sink",12,"undirected"
"see","depend",28,"undirected"
"feel","depend",41,"undirected"
"think","depend",34,"undirected"
"look","depend",16,"undirected"
"mind","depend",13,"undirected"
"see","total",16,"undirected"
"feel","total",17,"undirected"
"think","total",18,"undirected"
"look","total",11,"undirected"
"mind","total",10,"undirected"
"see","afflict",13,"undirected"
"feel","afflict",13,"undirected"
"think","afflict",14,"undirected"
"look","afflict",14,"undirected"
"mind","afflict",14,"undirected"
"see","charm",53,"undirected"
"feel","charm",46,"undirected"
"think","charm",82,"undirected"
"look","charm",46,"undirected"
"mind","charm",29,"undirected"
"see","sens",69,"undirected"
"feel","sens",131,"undirected"
