source,target,weight,type,pmi
feel,ca,20,undirected,7.4040227326
feel,relief,65,undirected,4.3153140026
feel,unpleas,30,undirected,4.2190484594
feel,resent,53,undirected,4.2183980529
feel,gratitud,76,undirected,4.201062363
feel,asham,49,undirected,4.1810735823
feel,conscious,135,undirected,4.1607554546
feel,reproach,62,undirected,4.1216169595
feel,delicaci,48,undirected,4.1193071502
feel,stronger,32,undirected,4.1128262461
feel,mortifi,26,undirected,4.1086608131
feel,embarrass,49,undirected,4.1054182211
feel,sympathi,88,undirected,4.1009171737
feel,repress,22,undirected,4.0788777141
feel,sensat,52,undirected,4.0599837648
feel,reviv,36,undirected,4.0534690837
feel,anxieti,75,undirected,4.0436473454
feel,vex,30,undirected,4.0215174839
feel,disappoint,112,undirected,4.0208438564
feel,oppress,39,undirected,4.0114090946
feel,tender,181,undirected,4.0019049643
feel,chill,29,undirected,3.9970946762
feel,vexat,19,undirected,3.9940916709
feel,reliev,55,undirected,3.9690584884
feel,hurt,47,undirected,3.9611526545
feel,throb,24,undirected,3.9597835997
feel,regret,71,undirected,3.9509844756
feel,glow,53,undirected,3.9369119891
feel,composur,22,undirected,3.9227826432
feel,pain,189,undirected,3.9131963955
feel,inclin,65,undirected,3.8859924341
feel,ardent,23,undirected,3.8845056906
feel,gratifi,37,undirected,3.8734316358
feel,subdu,29,undirected,3.8685758254
feel,express,258,undirected,3.8635503638
feel,emot,100,undirected,3.863546617
feel,irrit,29,undirected,3.8618980043
feel,shrink,24,undirected,3.8606508621
feel,indign,61,undirected,3.8565117018
feel,certainti,17,undirected,3.8486746711
feel,desol,30,undirected,3.8313650335
feel,bitter,82,undirected,3.8274156113
feel,helpless,26,undirected,3.8144679157
feel,agit,65,undirected,3.8126995686
feel,vagu,21,undirected,3.8086693365
feel,indiffer,57,undirected,3.8085546773
feel,timid,32,undirected,3.7880500493
feel,stole,24,undirected,3.7871167781
feel,blush,61,undirected,3.7844289328
feel,spite,56,undirected,3.7804757655
feel,interest,205,undirected,3.7793566492
feel,imposs,72,undirected,3.7778316603
feel,involuntarili,22,undirected,3.7676334611
feel,curios,57,undirected,3.7622900569
feel,sooth,51,undirected,3.7585557714
feel,displeasur,19,undirected,3.7531366749
feel,anguish,35,undirected,3.7465848043
feel,heart,543,undirected,3.7415004894
feel,percept,18,undirected,3.7267848535
feel,pride,76,undirected,3.7250607151
feel,warmth,19,undirected,3.7217439625
feel,dislik,30,undirected,3.7207143235
feel,sensibl,64,undirected,3.7190571778
feel,fascin,18,undirected,3.7151432785
feel,prospect,44,undirected,3.7123063971
feel,decis,32,undirected,3.708653963
feel,soften,32,undirected,3.6958003156
feel,affect,184,undirected,3.6954116966
