,source,target,weight,type,pmi
217,feel,relief,65,undirected,4.3153140026
55,feel,resent,53,undirected,4.2183980529
142,feel,gratitude,76,undirected,4.201062363
54,feel,conscious,135,undirected,4.1607554546
416,feel,reproach,62,undirected,4.1216169595
345,feel,sympathy,88,undirected,4.1009171737
185,feel,sensation,52,undirected,4.0599837648
15,feel,anxiety,75,undirected,4.0436473454
157,feel,disappoint,112,undirected,4.0208438564
226,feel,tender,181,undirected,4.0019049643
718,look,earnest,187,undirected,3.7487063078
784,look,pale,157,undirected,3.6567026182
601,look,anxious,171,undirected,3.6341515055
574,look,eye,1074,undirected,3.5563961136
719,look,window,239,undirected,3.4818496175
541,look,saw,525,undirected,3.4576694568
548,look,smile,354,undirected,3.4102349193
768,look,blush,83,undirected,3.3960476846
863,look,unconscious,58,undirected,3.3769080452
585,look,eager,146,undirected,3.3753886943
1702,see,curious,75,undirected,3.526458255
1627,see,anxious,124,undirected,3.4988488589
1794,see,blush,74,undirected,3.4673515143
1625,see,look,1287,undirected,3.4663133978
1745,see,window,187,undirected,3.4225740267
1732,see,picture,91,undirected,3.4195831612
1554,see,anxiety,66,undirected,3.4055453263
1793,see,glad,172,undirected,3.4024278822
1810,see,pale,100,undirected,3.3917063431
1600,see,eye,751,undirected,3.3847358346
2416,think,absorb,55,undirected,4.1675278183
2382,think,blame,52,undirected,3.7154407699
2308,think,blush,82,undirected,3.6858659184
2078,think,fancy,180,undirected,3.665902218
2403,think,unconscious,56,undirected,3.6437563198
2168,think,sad,119,undirected,3.6344292973
2185,think,sigh,110,undirected,3.6221471462
2244,think,wonder,260,undirected,3.6148478437
2220,think,bitter,92,undirected,3.5480765436
2345,think,sometimes,175,undirected,3.5400168501
