"","filenames","wait.v","await.v","look.forward.v","word.count.v"
"1","Chadwyck_1792_Bage_ManAsHe.txt",14,1,0,43544
"2","Chadwyck_1792_Belknap_TheForestersan.txt",2,0,0,11815
"3","Chadwyck_1792_Holcroft_AnnaStIves.txt",1,0,0,9299
"4","Chadwyck_1793_Brackenridge_ModernChivalryContaining.txt",8,0,0,12775
"5","Chadwyck_1794_Godwin_ThingsAsThey.txt",3,0,0,20464
"6","Chadwyck_1794_Holcroft_TheAdventuresof.txt",1,0,2,7568
"7","Chadwyck_1796_Bage_HermsprongorMan.txt",1,0,1,12571
"8","Chadwyck_1797_Tyler_TheAlgerineCaptive.txt",0,0,0,2360
"9","Chadwyck_1798_Brown_Wieland1798.txt",1,0,0,2266
"10","Chadwyck_1799_Brown_OrmondorThe.txt",2,2,0,9136
"11","Chadwyck_1800_Brown_ArthurMervynor.txt",2,2,0,3554
"12","Chadwyck_1809_Tyler_TheYankeyin.txt",0,0,0,844
"13","Chadwyck_1814_Barrett_TheHeroineOr.txt",1,0,0,4465
"14","Chadwyck_1814_Scott_WaverleyorTis.txt",6,1,0,23196
"15","Chadwyck_1815_Scott_GuyManneringOr.txt",2,1,0,8732
"16","Chadwyck_1815_Scott_TheAntiquaryin.txt",3,1,1,20325
"17","Chadwyck_1816_Scott_OldMortalityin.txt",9,2,0,24904
"18","Chadwyck_1816_Scott_TheBlackDwarf.txt",1,0,0,8726
"19","Chadwyck_1817_Scott_RobRoyin.txt",3,0,0,20532
"20","Chadwyck_1818_Peacock_NightmareAbbey.txt",3,2,0,6249
"21","Chadwyck_1819_Scott_ALegendof.txt",5,1,0,10732
"22","Chadwyck_1819_Scott_IvanhoeARomance.txt",4,2,0,22457
"23","Chadwyck_1820_Maturin_MelmothTheWanderer.txt",3,0,1,18538
"24","Chadwyck_1821_Cooper_TheSpyvolume.txt",6,1,0,12919
"25","Chadwyck_1821_Galt_AnnalsOfThe.txt",0,0,0,2959
"26","Chadwyck_1821_Galt_TheAyrshireLegatees.txt",1,0,0,4077
"27","Chadwyck_1821_Scott_Kenilworthinthe.txt",17,1,1,24260
"28","Chadwyck_1822_Galt_TheProvost.txt",3,0,0,3120
"29","Chadwyck_1822_Neal_LoganAFamily.txt",7,2,0,61017
"30","Chadwyck_1823_Galt_TheEntailor.txt",3,0,0,25114
"31","Chadwyck_1823_Neal_ErrataorThe.txt",6,1,0,12987
"32","Chadwyck_1823_Neal_RandolphANovel.txt",3,0,0,17083
"33","Chadwyck_1823_Neal_Seventy-sixvolume1.txt",8,1,0,28845
"34","Chadwyck_1823_Paulding_KoningsmarketheLong.txt",3,0,0,16379
"35","Chadwyck_1823_Scott_QuentinDurwardin.txt",8,1,1,37493
"36","Chadwyck_1824_Brainard_LettersFoundin.txt",1,0,0,2054
"37","Chadwyck_1824_Hogg_ThePrivateMemoirs.txt",1,0,0,5529
"38","Chadwyck_1824_M'Henry_O'HalloranorThe.txt",5,1,0,21516
"39","Chadwyck_1824_Scott_Redgauntletinthe.txt",7,1,0,24339
"40","Chadwyck_1825_Cooper_LionelLincolnor.txt",17,6,1,38908
"41","Chadwyck_1825_Paulding_JohnBullin.txt",0,0,0,1420
"42","Chadwyck_1826_Cooper_TheLastof.txt",23,11,1,31604
"43","Chadwyck_1826_Disraeli_VivianGrey.txt",7,2,0,53106
"44","Chadwyck_1826_Paulding_TheMerryTales.txt",0,0,0,1122
"45","Chadwyck_1827_Cooper_ThePrairievolume.txt",4,3,0,11773
"46","Chadwyck_1828_Cooper_TheRedRover.txt",11,5,1,28665
"47","Chadwyck_1828_Flint_TheLifeand.txt",0,0,0,6458
"48","Chadwyck_1828_Lytton_PelhamOrThe.txt",3,2,1,10386
"49","Chadwyck_1828_Neal_RachelDyerA.txt",6,0,0,9364
"50","Chadwyck_1828_Paulding_TheNewMirror.txt",0,0,0,1015
"51","Chadwyck_1829_Flint_GeorgeMasonthe.txt",1,0,0,8110
"52","Chadwyck_1829_Paulding_Talesofthe.txt",0,0,0,3277
"53","Chadwyck_1830_Flint_TheShoshoneValley.txt",6,0,1,17062
"54","Chadwyck_1830_M'Henry_TheBetrothedof.txt",1,1,0,6606
"55","Chadwyck_1830_Paulding_Chroniclesofthe.txt",2,0,0,5608
"56","Chadwyck_1831_Cooper_TheBravovolume.txt",2,1,0,6195
"57","Chadwyck_1831_Cooper_TheWater-Witchvolume.txt",5,2,0,22205
"58","Chadwyck_1831_M'Henry_MeredithorThe.txt",3,1,1,7743
"59","Chadwyck_1831_Paulding_TheDutchmanFireside.txt",8,0,0,19536
"60","Chadwyck_1839_Dickens_TheLifeand.txt",31,1,0,66086
"61","Chadwyck_1839_Motley_MortonHopeor.txt",4,0,0,4813
"62","Chadwyck_1839_Simms_TheDamselof.txt",19,11,0,42733
"63","Chadwyck_1839_Taylor_ConfessionsOfA.txt",1,0,0,6381
"64","Chadwyck_1839_Thompson_TheGreenMountain.txt",5,2,0,13095
"65","Chadwyck_1840_Cooper_MercedesofCastile.txt",8,2,0,24817
"66","Chadwyck_1840_Fay_TheCountessIda.txt",17,8,0,45826
"67","Chadwyck_1840_Hoffman_GreyslaerARomance.txt",11,4,0,24148
"68","Chadwyck_1840_Kennedy_QuodlibetContainingSome.txt",3,0,0,9394
"69","Chadwyck_1840_Simms_BorderBeaglesA.txt",13,5,0,29204
"70","Chadwyck_1840_Thomas_HowardPinckneyVolume.txt",5,1,0,11930
