"","filenames","wait.v","await.v","look.forward.v","word.count.v"
"1","Chadwyck_1790_Radcliffe_ASicilianRomance.txt",16,12,0,22260
"2","Chadwyck_1791_Radcliffe_TheRomanceof.txt",33,10,5,57370
"3","Chadwyck_1794_Austen_LadySusanin.txt",2,0,2,3753
"4","Chadwyck_1794_Radcliffe_TheMysteriesof.txt",75,30,6,141535
"5","Chadwyck_1794_Rowson_CharlotteATale.txt",1,0,0,3353
"6","Chadwyck_1794_Rowson_MentoriaorThe.txt",1,0,0,2799
"7","Chadwyck_1794_Rowson_TheFillede.txt",18,0,1,23793
"8","Chadwyck_1796_Burney_CamillaorA.txt",79,8,3,111105
"9","Chadwyck_1797_Foster_TheCoquetteor.txt",7,0,0,9774
"10","Chadwyck_1797_Robinson_WalsinghamorThe.txt",11,1,1,20371
"11","Chadwyck_1798_Foster_TheBoardingSchool.txt",0,0,0,1260
"12","Chadwyck_1798_Rowson_ReubenandRachel.txt",7,0,0,20557
"13","Chadwyck_1798_Shelley_TheWrongsof.txt",4,0,0,8220
"14","Chadwyck_1801_Edgeworth_BelindaByMaria.txt",15,0,0,48440
"15","Chadwyck_1805_Austen_TheWatsonsin.txt",2,0,0,5946
"16","Chadwyck_1805_Opie_AdelineMowbrayOr.txt",25,15,4,59638
"17","Chadwyck_1806_Dacre_ZofloyaorThe.txt",11,7,1,41920
"18","Chadwyck_1806_Morgan_TheWildIrish.txt",2,0,1,15118
"19","Chadwyck_1809_Edgeworth_EnnuiorMemoirs.txt",0,0,0,5794
"20","Chadwyck_1810_Brunton_Self-ControlANovel.txt",45,8,6,98957
"21","Chadwyck_1811_Austen_SenseandSensibility.txt",11,0,3,30803
"22","Chadwyck_1811_Mitchell_AShortAccount.txt",3,0,0,17979
"23","Chadwyck_1813_Austen_PrideandPrejudice.txt",9,0,3,33617
"24","Chadwyck_1813_Rowson_SarahorThe.txt",3,1,0,12905
"25","Chadwyck_1814_Austen_MansfieldParkA.txt",14,0,2,47585
"26","Chadwyck_1814_Burney_TheWandereror.txt",27,5,0,42533
"27","Chadwyck_1814_Edgeworth_PatronageByMaria.txt",10,0,0,37751
"28","Chadwyck_1816_Austen_EmmaANovel.txt",11,0,2,39472
"29","Chadwyck_1818_Austen_NorthangerAbbeyand.txt",9,0,1,29683
"30","Chadwyck_1818_Austen_PersuasionBythe.txt",14,0,2,27215
"31","Chadwyck_1818_Ferrier_MarriageANovel.txt",9,5,0,30824
"32","Chadwyck_1818_Shelley_FrankensteinorThe.txt",1,0,2,3760
"33","Chadwyck_1822_Sedgwick_ANew-EnglandTale.txt",6,4,0,23591
"34","Chadwyck_1824_Child_Hobomok1824.txt",4,1,0,12065
"35","Chadwyck_1824_Sedgwick_RedwoodATale.txt",18,10,1,32226
"36","Chadwyck_1825_Child_TheRebelsor.txt",0,0,0,11400
"37","Chadwyck_1827_Sedgwick_HopeLeslievolume.txt",14,9,0,28988
"38","Chadwyck_1828_Rowson_CharlotteDaughteror.txt",4,0,0,8409
"39","Chadwyck_1828_Sedgwick_RomanceinReal.txt",2,0,0,2012
"40","Chadwyck_1830_Sedgwick_ClarenceorA.txt",14,9,2,24299
"41","Chadwyck_1831_Bacon_Talesofthe.txt",5,1,0,9540
