"","word","word1","word2","fish.odds","fish.p"
"1","a",206,848,1.19408377480432,0.0252330061255465
"471","he",144,540,1.31090988858848,0.00479395477891642
"1189","with",126,458,1.35222216238423,0.0038746762022344
"1045","that",199,716,1.3690925289702,0.000155804672051047
"1171","which",88,314,1.37624821701866,0.0110600584682725
"1056","this",50,166,1.47790230278744,0.0180241938581314
"386","for",101,328,1.51375452708836,0.000465545361943333
"715","no",33,106,1.52677143401891,0.0408131397967653
"452","had",172,554,1.53031922718773,3.35670603065629e-06
"489","him",62,198,1.53730518133095,0.0046742063475886
"1008","stronger",29,90,1.5801105165431,0.0370617407805725
"1080","too",27,76,1.74228906304492,0.0172598004686204
"592","last",20,56,1.75097135637356,0.0447461117722885
"610","like",20,50,1.96143995059427,0.0155497848503955
"364","felt",80,198,1.98745948195146,1.14970678583843e-06
"33","all",60,140,2.10624722538217,4.57644241798122e-06
"1047","their",30,66,2.23036787868139,0.000547310332638033
"51","any",31,68,2.23706579749745,0.00040856808719175
"223","day",16,34,2.30727010314352,0.00779283772697222
"702","nature",18,38,2.32273644640411,0.00630807930655396
"56","are",10,20,2.45074634380787,0.0257986145643952
"87","because",10,20,2.45074634380787,0.0257986145643952
"834","rather",10,20,2.45074634380787,0.0257986145643952
"43","always",12,24,2.45105423899677,0.0139206157968372
"607","life",12,24,2.45105423899677,0.0139206157968372
"25","again",26,52,2.45321228253701,0.000396342164242097
"1052","they",26,52,2.45321228253701,0.000396342164242097
"789","possible",9,16,2.75687344270389,0.0270621140093568
"620","long",18,32,2.75852765182699,0.00103404258519524
"143","cause",8,14,2.80042261501375,0.0230542408158817
"504","husband",7,12,2.85851811001781,0.0305637460293875
"818","proud",6,10,2.9403926417579,0.0407062618215852
"1042","tenderness",6,10,2.9403926417579,0.0407062618215852
"1193","without",17,28,2.97759843557214,0.000921416472688875
"749","out",22,34,3.17445849591356,9.02098773185437e-05
"934","seen",29,42,3.38936462764529,1.70054921462916e-06
"808","pride",7,10,3.43054851985644,0.0160743729412506
"72","away",16,22,3.56664859635615,0.000232493369341579
"346","faith",6,8,3.67535557635958,0.0206567560253956
"349","family",6,8,3.67535557635958,0.0206567560253956
"458","hands",6,8,3.67535557635958,0.0206567560253956
"762","passionate",6,8,3.67535557635958,0.0206567560253956
"954","side",6,8,3.67535557635958,0.0206567560253956
"956","sight",6,8,3.67535557635958,0.0206567560253956
"973","sorrow",6,8,3.67535557635958,0.0206567560253956
"149","change",12,16,3.6770357673371,0.00115431096160821
"357","fear",14,18,3.81385682035016,0.000351903338529644
"1024","sweet",8,10,3.9210312136831,0.00593587802083294
"1207","years",8,10,3.9210312136831,0.00593587802083294
"1194","woman",13,16,3.98387191712583,0.000427054615559534
"15","action",5,6,4.08347640646615,0.0262489720602592
"243","departure",5,6,4.08347640646615,0.0262489720602592
"251","despair",5,6,4.08347640646615,0.0262489720602592
"403","fresh",5,6,4.08347640646615,0.0262489720602592
"3","about",17,20,4.16913631877083,3.8977975904266e-05
"747","other",22,24,4.49811353032195,1.26174147161952e-06
"29","agony",4,4,4.89991633752926,0.0324750021439268
"39","along",4,4,4.89991633752926,0.0324750021439268
"83","beating",4,4,4.89991633752926,0.0324750021439268
"134","calmer",4,4,4.89991633752926,0.0324750021439268
"157","childlike",4,4,4.89991633752926,0.0324750021439268
"169","closer",4,4,4.89991633752926,0.0324750021439268
"257","dewy",4,4,4.89991633752926,0.0324750021439268
"410","future",4,4,4.89991633752926,0.0324750021439268
"511","image",4,4,4.89991633752926,0.0324750021439268
"543","instead",4,4,4.89991633752926,0.0324750021439268
"651","martin",4,4,4.89991633752926,0.0324750021439268
"689","moved",4,4,4.89991633752926,0.0324750021439268
"743","opposite",4,4,4.89991633752926,0.0324750021439268
"751","overcome",4,4,4.89991633752926,0.0324750021439268
"771","perhaps",4,4,4.89991633752926,0.0324750021439268
"807","previous",4,4,4.89991633752926,0.0324750021439268
"814","produced",4,4,4.89991633752926,0.0324750021439268
"864","represented",4,4,4.89991633752926,0.0324750021439268
"882","revealing",4,4,4.89991633752926,0.0324750021439268
"947","share",4,4,4.89991633752926,0.0324750021439268
"1199","worn",4,4,4.89991633752926,0.0324750021439268
"1214","yours",4,4,4.89991633752926,0.0324750021439268
"142","caught",6,6,4.90073256133784,0.00862625100241364
"566","jealousy",6,6,4.90073256133784,0.00862625100241364
"801","prepossessed",6,6,4.90073256133784,0.00862625100241364
"189","conquer",8,8,4.9015491279883,0.00240205210297807
"196","conversation",8,8,4.9015491279883,0.00240205210297807
"404","friend",8,8,4.9015491279883,0.00240205210297807
"1081","took",8,8,4.9015491279883,0.00240205210297807
"764","past",10,10,4.9023660377002,0.000687103264475399
"1087","towards",20,18,5.45181662853321,5.44608510521668e-07
"803","present",7,6,5.71804955406648,0.00265266963553914
"536","influence",12,10,5.88397775865434,6.6875391454302e-05
"567","joy",12,10,5.88397775865434,6.6875391454302e-05
"461","hard",15,12,6.13078072008652,6.00568842552316e-06
"359","feel",35,28,6.14154586818643,4.19332046238186e-12
"13","act",8,6,6.53551253222005,0.000772598898891623
"488","high",8,6,6.53551253222005,0.000772598898891623
"125","brought",14,10,6.86599037913784,5.68746140858577e-06
"190","consequence",3,2,7.34914755020297,0.0371713248621376
"209","crushing",3,2,7.34914755020297,0.0371713248621376
"419","get",3,2,7.34914755020297,0.0371713248621376
"837","reaction",3,2,7.34914755020297,0.0371713248621376
"17","added",6,4,7.3511379422485,0.00266818597197175
"141","cast",6,4,7.3511379422485,0.00266818597197175
"445","grow",6,4,7.3511379422485,0.00266818597197175
"599","leaving",6,4,7.3511379422485,0.00266818597197175
"836","reached",6,4,7.3511379422485,0.00266818597197175
"1095","trouble",6,4,7.3511379422485,0.00266818597197175
"1180","wide",6,4,7.3511379422485,0.00266818597197175
"1105","under",25,16,7.67070837082294,3.18303271246839e-10
"778","philip",20,12,8.17851097881344,1.04307639765691e-08
"30","aid",4,2,9.79971746729257,0.00926448948484292
"50","anxious",4,2,9.79971746729257,0.00926448948484292
"60","arrival",4,2,9.79971746729257,0.00926448948484292
"112","book",4,2,9.79971746729257,0.00926448948484292
"116","bound",4,2,9.79971746729257,0.00926448948484292
"241","delightful",4,2,9.79971746729257,0.00926448948484292
"242","demonstration",4,2,9.79971746729257,0.00926448948484292
"287","dress",4,2,9.79971746729257,0.00926448948484292
"358","feeble",4,2,9.79971746729257,0.00926448948484292
"370","filled",4,2,9.79971746729257,0.00926448948484292
"373","firmly",4,2,9.79971746729257,0.00926448948484292
"398","frame",4,2,9.79971746729257,0.00926448948484292
"430","gone",4,2,9.79971746729257,0.00926448948484292
"440","gravity",4,2,9.79971746729257,0.00926448948484292
"516","immediate",4,2,9.79971746729257,0.00926448948484292
"531","indifferent",4,2,9.79971746729257,0.00926448948484292
"619","lonely",4,2,9.79971746729257,0.00926448948484292
"799","prejudice",4,2,9.79971746729257,0.00926448948484292
"812","probable",4,2,9.79971746729257,0.00926448948484292
"861","remove",4,2,9.79971746729257,0.00926448948484292
"865","reproach",4,2,9.79971746729257,0.00926448948484292
"993","steep",4,2,9.79971746729257,0.00926448948484292
"1126","utmost",4,2,9.79971746729257,0.00926448948484292
"1142","wait",4,2,9.79971746729257,0.00926448948484292
"1146","want",4,2,9.79971746729257,0.00926448948484292
"1204","written",4,2,9.79971746729257,0.00926448948484292
"300","effect",8,4,9.80340748391971,0.00017586296879853
"755","painful",9,4,11.0298770675697,4.26419266724208e-05
"744","opposition",5,2,12.2509141880442,0.0021690660371914
"462","hardly",10,4,12.256800103236,1.00374752783122e-05
"1086","touched",10,4,12.256800103236,1.00374752783122e-05
"831","quite",16,6,13.0815985844661,1.21639906808114e-08
"44","among",6,2,14.7068446576614,0.000485442047808396
"82","bear",6,2,14.7068446576614,0.000485442047808396
"109","boat",6,2,14.7068446576614,0.000485442047808396
"324","evidence",6,2,14.7068446576614,0.000485442047808396
"438","grateful",6,2,14.7068446576614,0.000485442047808396
"529","indicated",6,2,14.7068446576614,0.000485442047808396
"548","intention",6,2,14.7068446576614,0.000485442047808396
"591","largely",6,2,14.7068446576614,0.000485442047808396
"660","memory",6,2,14.7068446576614,0.000485442047808396
"668","midst",6,2,14.7068446576614,0.000485442047808396
"680","moments",6,2,14.7068446576614,0.000485442047808396
"868","resentment",6,2,14.7068446576614,0.000485442047808396
"994","step",6,2,14.7068446576614,0.000485442047808396
"4","above",8,2,19.6049691064075,2.21150030949107e-05
"100","besides",8,2,19.6049691064075,2.21150030949107e-05
"343","fact",8,2,19.6049691064075,2.21150030949107e-05
"383","fond",8,2,19.6049691064075,2.21150030949107e-05
"606","level",8,2,19.6049691064075,2.21150030949107e-05
"1053","things",16,4,19.6205356280493,1.11641674392163e-09
"425","glance",9,2,22.0592831023933,4.55889609658613e-06
"494","hold",10,2,24.513600582199,9.23378716648395e-07
"571","keen",10,2,24.513600582199,9.23378716648395e-07
"632","lucy",16,2,39.2596193105822,4.98561252049767e-11
"640","maggie",56,6,45.9849276405156,1.25098217833854e-36
"6","absorption",2,0,Inf,0.0287405653150843
"8","accept",4,0,Inf,0.00082573325157433
"16","activity",2,0,Inf,0.0287405653150843
"19","admiring",2,0,Inf,0.0287405653150843
"21","admit",2,0,Inf,0.0287405653150843
"22","adopted",4,0,Inf,0.00082573325157433
"27","age",4,0,Inf,0.00082573325157433
"28","ago",4,0,Inf,0.00082573325157433
"31","aiming",2,0,Inf,0.0287405653150843
"35","allude",4,0,Inf,0.00082573325157433
"38","aloft",2,0,Inf,0.0287405653150843
"48","annoyance",4,0,Inf,0.00082573325157433
"53","apologetically",4,0,Inf,0.00082573325157433
"54","appeal",2,0,Inf,0.0287405653150843
"58","armour",4,0,Inf,0.00082573325157433
"59","arranged",2,0,Inf,0.0287405653150843
"61","artful",2,0,Inf,0.0287405653150843
"63","asking",2,0,Inf,0.0287405653150843
"64","asserting",2,0,Inf,0.0287405653150843
"67","ate",2,0,Inf,0.0287405653150843
"68","atonement",2,0,Inf,0.0287405653150843
"71","available",2,0,Inf,0.0287405653150843
"75","baldassarre",2,0,Inf,0.0287405653150843
"77","barber",2,0,Inf,0.0287405653150843
"78","bardi",4,0,Inf,0.00082573325157433
"79","bardo",2,0,Inf,0.0287405653150843
