"word","count.a","count.b","med.a","med.b","p","diff"
"just",59569,43676,0.00479658172197445,0.00402367417596556,0.000787175638451166,0.000772907546008888
"get",50946,35624,0.00403643516964433,0.00337865906006813,0.000931166152192021,0.000657776109576199
"kill",12044,5592,0.000882751402943888,0.000356480821331812,8.85051858218946e-16,0.000526270581612075
"need",26950,16713,0.00212936001756034,0.0016140350877193,6.40857481235217e-13,0.00051532492984104
"human",13459,2657,0.000641622011802054,0.000171244605794917,9.6768887562622e-23,0.000470377406007137
"back",65473,49355,0.00542429217314252,0.00495617117283722,0.00722392585295053,0.0004681210003053
"head",33047,22694,0.00264507574406477,0.0021859516176042,2.55712124580394e-06,0.000459124126460569
"nod",12398,6786,0.000950420172878599,0.000508130081300813,1.58301683311279e-09,0.000442290091577786
"around",32174,22641,0.00266218519545363,0.00222365973962966,0.00108226162177797,0.000438525455823974
"enough",18559,10933,0.00146778185628839,0.00105555428073154,5.02163175801997e-12,0.000412227575556849
"right",32597,23167,0.00256238656702814,0.00218365314989138,2.49672118341126e-05,0.000378733417136757
"point",16410,9153,0.00124696074275189,0.000872054758457286,8.32515680603324e-16,0.000374905984294607
"tri",28510,19704,0.00228793828441377,0.00191532258064516,1.27442379848993e-06,0.000372615703768607
"reach",12505,6943,0.000975976957827519,0.000614802553795223,4.21846117246135e-13,0.000361174404032295
"use",22054,13267,0.00170042913828628,0.0013621177075302,5.40382128915039e-11,0.000338311430756084
"power",8752,3402,0.000565209006750099,0.000233719324338681,2.67791429984456e-19,0.000331489682411418
"gun",7313,2904,0.000417213588088352,9.44844691153892e-05,1.09021133918534e-11,0.000322729118972963
"let",23149,16528,0.00197484024488733,0.00166319695872556,2.55590003182377e-05,0.000311643286161764
"fire",10739,5529,0.000687216475548354,0.000383185806797716,1.57440761221348e-09,0.000304030668750638
"toward",15504,8685,0.00108716405637902,0.000796336850487756,1.55224048025029e-08,0.000290827205891259
"far",12520,7214,0.000972945307570747,0.000685012401086571,4.80553712084093e-14,0.000287932906484175
"wall",12461,7439,0.000963433187257847,0.00068214375042634,5.28625865979468e-07,0.000281289436831507
"control",7710,1803,0.000445088774188428,0.000164537956849921,6.24083410815933e-28,0.000280550817338507
"system",9342,934,0.000336795691257076,7.36811081638668e-05,1.63378713403219e-35,0.000263114583093209
"close",16336,11677,0.00140912937250042,0.00114682030418043,7.56880617104683e-05,0.000262309068319991
"still",32993,24019,0.00262012086979419,0.00235819261380385,0.000581415732135407,0.000261928255990342
"side",17482,11136,0.00131265216259301,0.00105378190617438,2.38610652058766e-06,0.000258870256418629
"well",28810,21425,0.00224456009231313,0.00198624904507257,0.00172835010843979,0.00025831104724056
"weapon",5220,776,0.00028591098633954,2.83639664170638e-05,2.83253740486257e-32,0.000257547019922476
"can",39317,30250,0.00300283013956299,0.00275548322668935,0.00978914273099731,0.000247346912873634
"pull",15527,9813,0.00115004705852596,0.000903526668609735,7.05540635226904e-05,0.000246520389916226
"sure",17401,12544,0.00142722304390324,0.00119205595915521,0.000535819146408134,0.000235167084748024
