"","word","word1","word2","fish.odds","fish.p","G2"
"1377","window",992,771,47.9753249947029,0,4841.07001932621
"1380","windows",132,109,44.4745643939053,2.84315653778626e-139,632.147004005899
"1348","western",22,88,9.16564535049215,1.70816570123183e-13,54.3020792011303
"496","garden",52,238,8.0149944452837,2.23756496979346e-27,117.395238938626
"489","front",40,193,7.60210805161729,1.01617639667434e-20,87.0028400564548
"863","open",110,608,6.64213846396759,5.51279266388178e-49,216.190088110629
"1011","rosalie",46,265,6.36630222547873,7.73400041188072e-21,87.4402406685408
"692","leaning",38,223,6.24882863377477,2.93145883904602e-17,71.1520430421991
"215","chamber",52,314,6.07417719674602,1.58506919767866e-22,95.1050344492379
"73","arose",28,177,5.80009476765745,1.95730436847536e-12,49.2512713650017
"1180","street",50,317,5.78507144213983,6.46306531164865e-21,87.7399876613811
"962","rain",21,149,5.1668915721793,6.68903388454301e-09,33.2909485812543
"1321","walked",62,483,4.70880458409899,2.18828497979639e-21,89.7629960574102
"803","moving",21,166,4.6372302226094,3.62965688726131e-08,29.9467435333307
"1155","standing",56,445,4.61539493922766,4.0078352247481e-19,79.4509185801164
"1121","slowly",34,280,4.45242368390776,7.48824993803891e-12,46.4689546562869
"1322","walking",29,247,4.30434280410882,5.01728400255681e-10,38.2293114333434
"1116","sky",24,207,4.25063084369818,1.8481551395365e-08,31.2051678850429
"691","leaned",21,183,4.20689649149416,1.6210486817126e-07,26.9954052702835
"867","opposite",26,229,4.16257649759907,7.17583848173542e-09,33.0299749767458
"1333","watching",40,354,4.14349931192799,9.14759070565176e-13,50.5491269626037
"1244","threw",24,220,3.99948215932268,5.28299232417902e-08,29.1342849872255
"1197","sun",32,298,3.93732355740022,5.11385523173117e-10,38.1403250505639
"864","opened",46,433,3.89605595415884,1.43980409095016e-13,54.1434057474611
"949","prospect",24,236,3.72861962183892,1.73740043734505e-07,26.7915841046025
"875","out",321,3226,3.66236670294545,3.77612585468013e-78,349.671226736975
"1319","waiting",26,261,3.65187267795204,7.95716063080175e-08,28.2888408352008
"1092","shut",22,222,3.63274589026581,8.22885153355193e-07,23.7793745578505
