word,count.a,count.b,med.a,med.b,p,diff
mrs,5822,2761,0.0033958437,0.0002421941,3.96764491124187e-16,0.0031536496
mother,3129,2154,0.0019513192,0.0005369733,2.17745172511347e-14,0.0014143459
love,3840,3692,0.0025905498,0.0011987639,2.44711043307722e-10,0.0013917858
look,7311,7849,0.0047219508,0.0034952941,2.13128024007386e-08,0.0012266567
room,3142,2476,0.0020339527,0.0008538503,1.59952437465012e-12,0.0011801024
thought,5598,5286,0.0035380698,0.0023949646,2.16317362578108e-10,0.0011431051
heart,3707,3810,0.0026267791,0.0015088045,2.26059377805734e-07,0.0011179747
miss,4839,3114,0.001590104,0.0004759891,3.29100541520385e-07,0.0011141149
felt,3114,2583,0.0020630784,0.0010212766,9.8574705640712e-11,0.0010418018
home,2253,1695,0.001488872,0.0005696615,4.4622462283517e-11,0.0009192105
littl,5504,5860,0.0034990432,0.0025939539,2.49821442804418e-05,0.0009050893
feel,3384,3179,0.0022811107,0.0013870957,1.73708849969413e-10,0.0008940151
never,3868,3987,0.0026615005,0.0018137447,6.78235237029401e-07,0.0008477559
eye,4882,6392,0.0033761435,0.002594164,0.0068358225,0.0007819795
go,4239,4238,0.002702294,0.0019218639,4.82624341571401e-06,0.0007804301
wish,2651,1963,0.0016816783,0.0009099369,3.12875666831538e-13,0.0007717413
see,4328,4910,0.0030568341,0.0023361099,0.0007047848,0.0007207242
father,3277,3006,0.0016187965,0.0009133344,0.0015959743,0.0007054621
think,3473,3827,0.0022911602,0.0015867571,1.33574412376554e-05,0.0007044031
seem,3838,4074,0.0026251456,0.00192445,4.90646228171643e-05,0.0007006956
happi,1771,1242,0.0011648773,0.000486127,5.2840276959222e-17,0.0006787502
dear,2198,2316,0.0012891929,0.0006180057,2.4329176406941e-06,0.0006711872
letter,1975,1975,0.0012465871,0.0005908936,1.13852786411556e-05,0.0006556935
till,1828,1303,0.0011165767,0.0004635368,3.60496463136531e-07,0.0006530399
tear,1842,1048,0.0010393723,0.0004041296,3.15594953114112e-15,0.0006352427
child,1574,1004,0.0008784255,0.0002470025,2.91553369014992e-14,0.000631423
girl,1502,1130,0.0009168305,0.0003156077,1.3419128305189e-10,0.0006012228
door,2242,2293,0.0014065015,0.0008133959,6.63261559669811e-07,0.0005931057
thing,2435,2721,0.0018824038,0.0013012178,0.0028531607,0.000581186
voic,2350,2547,0.0015808334,0.0010117998,2.55244423735424e-05,0.0005690336
kind,1892,1802,0.0012919759,0.0007293813,6.31045927723202e-08,0.0005625945
beauti,1570,1477,0.0009997567,0.0004441348,2.61628021328243e-09,0.0005556219
much,4578,5056,0.0029726184,0.0024212284,0.0008259265,0.00055139
woman,1437,1478,0.0011030521,0.0005574026,1.52303416725334e-07,0.0005456495
everi,3120,2861,0.0019172696,0.0013729337,4.62100725581366e-07,0.0005443358
hope,3077,2365,0.0015828688,0.0010433401,1.17034865021239e-06,0.0005395287
even,4033,4422,0.0026891483,0.0021547156,3.72756174392284e-06,0.0005344327
mind,3228,3331,0.0020842017,0.0015513957,3.3460660586476e-06,0.000532806
alway,1666,1482,0.001125922,0.0006007038,4.11352417102266e-08,0.0005252182
want,1503,1343,0.0009898959,0.0004934557,1.75925072916769e-08,0.0004964402
read,1454,1417,0.0010170498,0.0005230691,2.88114825540791e-08,0.0004939807
must,3207,3475,0.0021665215,0.0016845577,0.0001038933,0.0004819638
smile,1950,2303,0.0012899737,0.000823684,3.80754213825871e-06,0.0004662897
saw,2834,2995,0.0017911274,0.0013350581,0.0004167224,0.0004560693
walk,1790,1779,0.0010769591,0.0006333473,2.63985512432022e-08,0.0004436118
talk,1499,1409,0.0009221994,0.0004788943,1.51404372607297e-07,0.0004433051
went,2452,2793,0.0014356439,0.000995067,0.0025472819,0.0004405769
sat,1465,1293,0.0008861249,0.0004507149,1.39986207853033e-07,0.00043541
tender,1198,831,0.0006781774,0.0002502435,8.66085533659885e-13,0.0004279339
ask,2991,3097,0.0015746068,0.0011537389,0.0021079973,0.0004208679
poor,1637,1929,0.0010844642,0.0006662997,0.000395013,0.0004181645
sister,1822,1134,0.0006295397,0.0002149038,5.29265869332084e-07,0.0004146359
quit,1837,2184,0.0010504039,0.0006393201,0.000421366,0.0004110838
wonder,1332,1148,0.0008576364,0.0004504636,4.78225990332507e-09,0.0004071728
marri,863,696,0.0005423901,0.0001400847,1.17125731678136e-09,0.0004023054
bed,903,847,0.0006388417,0.0002492556,2.70441015278002e-08,0.0003895861
cheek,948,668,0.0006066816,0.0002187707,3.8285796073447e-13,0.0003879109
pleasur,1204,869,0.0006659359,0.0002841809,2.16792300221342e-12,0.000381755
long,3097,3399,0.0020284418,0.0016591297,0.0010834226,0.0003693121
morn,1692,1801,0.0011765439,0.0008079178,8.84856805533326e-07,0.0003686262
pain,1189,878,0.0007323622,0.0003663074,1.40547004168703e-07,0.0003660547
husband,1006,543,0.0004762196,0.0001103692,5.45220077011653e-10,0.0003658503
affect,1323,1087,0.0007990706,0.0004348194,2.23099577936448e-07,0.0003642511
soft,866,603,0.0005434969,0.0001841698,8.52763207523871e-09,0.0003593271
life,2144,2535,0.0014642887,0.001106471,0.0007290203,0.0003578178
care,1614,1448,0.000998962,0.0006423822,1.16901569981667e-07,0.0003565798
aunt,1729,591,0.0003563958,0,5.84069051208827e-12,0.0003563958
sit,1063,947,0.0007160138,0.0003614689,1.37265610006987e-08,0.0003545449
window,1056,931,0.0006628684,0.0003205859,2.38349127905277e-08,0.0003422825
stay,777,463,0.0004942234,0.0001525519,7.02047978863887e-11,0.0003416715
day,3653,4680,0.0025923718,0.0022559874,0.0065609186,0.0003363845
yet,2849,3192,0.0017658271,0.0014357913,0.0070293137,0.0003300358
listen,1372,1065,0.0007584232,0.0004291731,2.5781190374331e-08,0.0003292501
away,2688,2918,0.0016347432,0.0013058052,0.0014777782,0.000328938
comfort,970,587,0.0005135159,0.0001850257,2.93557606454065e-09,0.0003284902
ever,2268,2600,0.001600768,0.0012767644,1.53201386215892e-05,0.0003240036
