author,language,concreteness,late.concreteness.diff
TSEliot,English,early,-0.4084413792
SachsPoetry_NOUN_HYPERNYM,German,early,-0.3800554245
GoethePoetryReducedMinusLarge_NOUN_HYPERNYM,German,early,-0.3637367114
CelanPoetry_NOUN_HYPERNYM,German,early,-0.3348319709
KirschPoetry_NOUN_HYPERNYM,German,neither,-0.3112149763
NoaillesAnnade,French,early,-0.2316940362
ChristinaRossetti,English,early,-0.2034809188
WallaceStevens,English,early,-0.1999298153
LaskerSchuelerPoetry_NOUN_HYPERNYM,German,neither,-0.1882085218
GeorgePoetryNonTranslation_NOUN_HYPERNYM,German,neither,-0.183908046
WHAuden,English,early,-0.1644636539
AudetMartine,French,early,-0.1551886792
EdnaMillay,English,early,-0.1347551126
RonsardPierrede,French,early,-0.1130056349
WilliamWordsworth,English,early,-0.1037023322
AlYoung,English,neither,-0.0970159343
CocteauJean,French,early,-0.0867984929
SeamusHeaney,English,neither,-0.0862149465
TraklPoetry_NOUN_HYPERNYM,German,neither,-0.0857489879
CoppéeFrançois,French,early,-0.0805438847
AmiriBaraka,English,early,-0.0794254682
MeratAlbert,French,early,-0.0703606912
AragonLouis,French,early,-0.0677621136
HölderlinPoetry_NOUN_HYPERNYM,German,neither,-0.0643263137
KarschPoetry_NOUN_HYPERNYM,German,neither,-0.0600127134
PrudhommeSully,French,early,-0.0585507709
VivienRenee,French,neither,-0.0517006813
AlexanderPope,English,neither,-0.0354544667
MichauxHenri,French,neither,-0.0320421821
PongeFrancis,French,neither,-0.031442758
DeschampsEmile,French,neither,-0.0307829
CharRene,French,neither,-0.028360146
SamuelTaylorColeridge,English,neither,-0.0268996039
ElizabethBarrettBrowning,English,neither,-0.0263793771
DuBellayJoachim,French,neither,-0.0262733891
PercyByssheShelley,English,neither,-0.0228194689
LangstonHughes,English,neither,-0.020050212
JammesFrancis,French,neither,-0.0139727156
DeLisleLeconte,French,neither,-0.0139102682
NoelMarie,French,neither,-0.0123870771
TieckPoetry_NOUN_HYPERNYM,German,neither,-0.0119011327
RollinatMaurice,French,neither,-0.0098269569
BérangerPierreJeande,French,neither,-0.0094598984
LordTennyson,English,neither,-0.007782343
WilliamCarlosWilliams,English,neither,-0.001223734
VerhaerenÉmile,French,neither,0.0005497409
GünderodePoetry_NOUN_HYPERNYM,German,neither,0.0034107755
DeBanvilleTheodore,French,neither,0.0035681489
ÉluardPaul,French,neither,0.0040607087
ClaudelPaul,French,neither,0.0131116717
PhilipSidney,English,neither,0.0152383705
ChedidAndree,French,neither,0.016073102
SchillerPoetry_NOUN_HYPERNYM,German,neither,0.0178222796
MoerikePoetry_NOUN_HYPERNYM,German,neither,0.0204716991
VerlainePaul,French,neither,0.0226132259
LaFontaineJeande,French,neither,0.026012669
WandaColeman,English,neither,0.0280497756
AllenGinsberg,English,neither,0.0310877613
DeRégnierHenri,French,neither,0.0348896664
LasnierRina,French,neither,0.0361154192
BrentanoPoetry_NOUN_HYPERNYM,German,neither,0.0379082978
SylviaPlath,English,neither,0.0401095265
OpitzPoetry_NOUN_HYPERNYM,German,neither,0.0482289426
WilliamButlerYeats,English,neither,0.0530414229
ApollinaireGuillaume,French,neither,0.053777274
PhilipLarkin,English,neither,0.0668422551
GautierTheophile,French,neither,0.07278311
HugoVictor,French,late,0.0776794403
MurielRukeyser,English,neither,0.0843249157
RilkePoetry_NOUN_HYPERNYM,German,neither,0.1019160459
AdrienneRich,English,late,0.1047791497
DesbordesValmoreMarceline,French,late,0.1458196655
Longfellow,English,late,0.147038511
BrossardNicole,French,late,0.1543023567
KlopstockPoetry_NOUN_HYPERNYM,German,neither,0.1832627808
MaryRobinson,English,late,0.235013434
DrosteHuelshoffPoetry_NOUN_HYPERNYM,German,late,0.2812995165
EichendorffPoetry_NOUN_HYPERNYM,German,late,0.4345028466
FeliciaHemans,English,neither,8.95517788690459e-05
