which.components.g.vulnerable..membership....3.,poems
4,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage in der Fasten.txt"
8,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Mittwochen in der Karwoche.txt"
9,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Montage in der Karwoche.txt"
14,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_An meine liebe Mutter.txt"
26,"1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Samstag.txt"
29,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achten Sonntage nach Pfingsten.txt"
30,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achtzehnten Sonntage nach Pfingsten.txt"
32,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Allerseelentage.txt"
35,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Dienstage in der Karwoche.txt"
36,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreiundzwanzigsten Sonntage nach Pfingsten.txt"
37,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreizehnten Sonntage nach Pfingsten.txt"
41,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am elften Sonntage nach Pfingsten.txt"
43,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Pfingsten (Dreifaltigkeit).txt"
46,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage nach Pfingsten.txt"
47,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünfundzwanzigsten Sonntage nach Pfingsten.txt"
48,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünfzehnten Sonntage nach Pfingsten.txt"
52,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt"
56,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Pfingsten.txt"
57,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsundzwanzigsten Sonntage nach Pfingsten.txt"
58,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechtzehnten Sonntage nach Pfingsten.txt"
59,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenten Sonntage nach Pfingsten.txt"
64,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach Pfingsten.txt"
65,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierundzwanzigsten Sonntage nach Pfingsten.txt"
68,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zehnten Sonntage nach Pfingsten.txt"
69,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zwanzigsten Sonntage nach Pfingsten.txt"
71,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage nach Ostern.txt"
72,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage nach Pfingsten.txt"
73,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Weihnachtstage (Stephanus).txt"
75,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zwölften Sonntage nach Pfingsten.txt"
86,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Alte und neue Kinderzucht.txt"
89,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Gaben.txt"
118,"1844_Droste-Hülshoff, Annette von_Gedichte_Einzeln publizierte Gedichte_Volksglauben in den Pyrenäen_1. Silvesterfei.txt"
121,"1844_Droste-Hülshoff, Annette von_Gedichte_Einzeln publizierte Gedichte_Volksglauben in den Pyrenäen_4. Maisegen.txt"
164,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Neujahrsnacht.txt"
184,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Der Strandwächter am deutschen Meere und sein Neffe vom Lande.txt"
201,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach hl. drei Könige.txt"
