which.components.g.vulnerable..membership....5.,poems
7,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karsamstage.txt"
10,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt"
11,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach hl. drei Könige.txt"
12,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage in der Fasten.txt"
15,"1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Fastnacht.txt"
17,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein milder Wintertag.txt"
18,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Frühling.txt"
19,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Herbst.txt"
20,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Sommer.txt"
21,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Winter.txt"
22,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Fragment.txt"
28,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Als der Herr in Sidons Land gekommen.txt"
34,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Christihimmelfahrtstage.txt"
39,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach Ostern.txt"
44,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Fronleichnamstage.txt"
53,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostermontage.txt"
54,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstmontage.txt"
55,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Ostern.txt"
62,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage im Advent.txt"
70,"1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage im Advent.txt"
82,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Vorgeschichte (Second sight).txt"
83,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Die Elemente_Erde.txt"
85,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Die Elemente_Luft.txt"
