"","source","target","weight"
"3","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste der hl. drei Könige.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",34.4700945149497
"4","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste Mariä Lichtmeß.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste der hl. drei Könige.txt",24.3134314253995
"5","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste Mariä Verkündigung.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",22.506290990362
"8","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage in der Fasten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",35.946703206416
"9","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage nach hl. drei Könige.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",44.4056442682009
"11","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karfreitage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Grünendonnerstage.txt",39.6898074285401
"12","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karfreitage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage nach hl. drei Könige.txt",38.8789696457197
"13","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karsamstage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste vom süßen Namen Jesus.txt",46.159152205071
"14","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Mittwochen in der Karwoche.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage in der Fasten.txt",37.2744936921297
"15","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Mittwochen in der Karwoche.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",37.1088130917999
"16","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Montage in der Karwoche.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Mittwochen in der Karwoche.txt",34.5178903310849
"21","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Palmsonntage.txt",40.0860495703552
"22","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karsamstage.txt",39.7292424525295
"23","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach hl. drei Könige.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostersonntage.txt",40.4148893724128
"24","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage in der Fasten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt",42.1646199479812
"25","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage in der Fasten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach hl. drei Könige.txt",41.3268823570221
"26","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_An ersten Sonntage in der Fasten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostersonntage.txt",36.7134756809253
"27","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_An meine liebe Mutter.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Montage in der Karwoche.txt",19.0789430389754
"28","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Fastnacht.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage in der Fasten.txt",34.9767384666117
"31","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Mutter Wiederkehr.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Graf von Thal.txt",17.271985526931
"34","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein milder Wintertag.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein harter Wintertag.txt",34.2850562841896
"35","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Frühling.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein harter Wintertag.txt",31.644620644215
"36","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Frühling.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein milder Wintertag.txt",29.446600528424
"37","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Herbst.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein milder Wintertag.txt",38.5879209481526
"38","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Sommer.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Herbst.txt",42.0398840461222
"39","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Sommer.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Frühling.txt",39.5058399842587
"40","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Winter.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Herbst.txt",36.7245361748937
"41","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Fragment.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein milder Wintertag.txt",32.8905680799326
"43","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Donnerstag.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Dienstag.txt",33.3837958808466
"44","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Freitag.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Donnerstag.txt",33.1995216654168
"45","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Freitag.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Dienstag.txt",26.6331169170145
"48","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Montag.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Mittwoch.txt",43.3126734847594
"49","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Samstag.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Mittwoch.txt",42.6937128640298
