language,author,poem_title
german,BrentanoPoetry,"1806_Brentano, Clemens_Gedichte_Ausgewählte Gedichte_An die Nymphe der Heilquelle zu Baden"" xml:id=""tg112.txt"
german,BrentanoPoetry,"1826_Brentano, Clemens_Gedichte_Ausgewählte Gedichte_Am heiligen Pfingstfeste"" xml:id=""tg240.txt"
german,DrosteHuelshoffPoetry,"1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Winter.txt"
german,DrosteHuelshoffPoetry,"1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fräulein von Rodenschild.txt"
german,DrosteHuelshoffPoetry,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Barmekiden Untergang.txt"
german,DrosteHuelshoffPoetry,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Was bleibt.txt"
german,EichendorffPoetry,"1805_Eichendorff,Josephvon_AnStolberg_Poetry.txt"
german,GeorgePoetryNonTranslation,"1906_George, Stefan_Gesamtausgabe der Werke_Der siebente Ring_Maximin_Trauer II.txt"
german,GoethePoetryReducedMinusLarge,1778_Balladen_DerFischer_Poetry.txt
german,GoethePoetryReducedMinusLarge,1797_Elegien_Euphrosyne_Poetry.txt
german,GoethePoetryReducedMinusLarge,1813_Epigrammatisch_DenGuten_Poetry.txt
german,GoethePoetryReducedMinusLarge,1820_Lyrisches_ZwischenbeidenWelten_Poetry.txt
german,HölderlinPoetry,"1795_Hölderlin,Friedrich_AndieNaturv1_Poetry.txt"
german,KarschPoetry,"1762_Karsch, Anna Louisa_Gedichte_Auserlesene Gedichte_Vermischte Gedichte_Erstes Buch_Aufmunterung an den Geheimen Rath Freyherrn von Labes.txt"
german,KarschPoetry,"1791_Karsch, Anna Louisa_Gedichte_Gedichte (Ausgabe 1792)_Episteln und Erzählungen_Die klagenden Musen und Apoll.txt"
german,KirschPoetry,1967_KirschSarah_033_SüßlangtderSommerinsFenster_Landaufenthalt_0000001.txt
german,KlopstockPoetry,"1753_Klopstock, Friedrich Gottlieb_Gedichte_Oden. Erster Band_Ihr Schlummer.txt"
german,OpitzPoetry,"1625_Opitz,Martin_Gedichte_Geistliche Dichtungen_Geistliche Oden oder Gesänge_19. Klagelied bey dem Creutze unsers Erlösers_Poetry_1.txt"
german,OpitzPoetry,"1627_Opitz,Martin_Gedichte_Weltliche Dichtungen_Dafne_[Das starcke Liebes-Gifft]_Poetry_1.txt"
german,OpitzPoetry,"1628_Opitz,Martin_Gedichte_Weltliche Dichtungen_Lob des Krieges-Gottes1_Poetry_1000.txt"
