language,author,birth,death,gender,century,periods,X.year.first.period,age.first.period,duration.first.period,X.year.last.period,age.last.period,duration.last.period,X.longest.period,when.shortest.period
french,AragonLouis,1897,1982,m,20,0,0,0,0,0,0,0,0,none
french,BérangerPierreJeande,1780,1857,m,19,0,0,0,0,0,0,0,0,none
french,CharRene,1907,1988,m,20,0,0,0,0,0,0,0,0,none
french,DesbordesValmoreMarceline,1786,1859,f,19,0,0,0,0,0,0,0,0,none
french,MeratAlbert,1840,1909,m,19,0,0,0,0,0,0,0,0,none
french,NoaillesAnnade,1876,1933,f,20,0,0,0,0,0,0,0,0,none
french,VivienRenee,1877,1909,f,19,0,0,0,0,0,0,0,0,none
german,CelanPoetry,1920,1970,m,20,0,0,0,0,0,0,0,0,none
german,GünderodePoetry,1780,1806,f,18,0,0,0,0,0,0,0,0,none
german,LaskerSchuelerPoetry,1869,1945,f,20,0,0,0,0,0,0,0,0,none
german,MoerikePoetry,1804,1875,m,19,0,0,0,0,0,0,0,0,none
german,SchillerPoetry,1759,1805,m,18,0,0,0,0,0,0,0,0,none
english,AlYoung,1935,2016,m,20,0,0,0,0,0,0,0,0,none
english,EdnaMillay,1892,1950,f,20,0,0,0,0,0,0,0,0,none
english,WallaceStevens,1879,1955,m,20,0,0,0,0,0,0,0,0,none
english,WandaColeman,1946,2013,f,20,0,0,0,0,0,0,0,0,none
english,WilliamButlerYeats,1865,1939,m,20,0,0,0,0,0,0,0,0,none
english,WilliamCarlosWilliams,1883,1963,m,20,0,0,0,0,0,0,0,0,none
german,EichendorffPoetry,1788,1857,m,19,2,1805,17,5,1805,17,54,54,not_final
english,Longfellow,1807,1882,m,19,2,1825,18,5,1825,18,57,57,not_final
english,FeliciaHemans,1793,1835,f,19,3,1812,19,11,1822,29,13,13,not_final
english,MaryRobinson,1757,1800,f,18,3,1777,20,2,1800,43,0,23,final
french,JammesFrancis,1868,1938,m,19,3,1891,23,3,1919,51,4,28,not_final
english,AlexanderPope,1688,1744,m,18,4,1711,23,12,1734,46,9,15,not_final
english,PhilipLarkin,1922,1985,m,20,2,1946,24,8,1946,24,38,38,not_final
german,HölderlinPoetry,1770,1843,m,19,2,1795,25,11,1795,25,48,48,not_final
english,MurielRukeyser,1913,1980,f,20,3,1938,25,3,1957,44,19,19,not_final
english,PhilipSidney,1554,1586,m,16,2,1580,26,3,1580,26,6,6,not_final
english,SamuelTaylorColeridge,1772,1834,m,19,2,1798,26,11,1798,26,36,36,not_final
english,PercyByssheShelley,1792,1822,m,19,3,1818,26,14,1821,29,1,14,final
french,CocteauJean,1889,1963,m,20,2,1916,27,10,1916,27,46,46,not_final
french,CoppéeFrançois,1842,1908,m,19,2,1869,27,7,1869,27,39,39,not_final
german,TraklPoetry,1887,1914,m,20,2,1914,27,6,1914,27,1,6,final
english,WHAuden,1907,1973,m,20,2,1934,27,12,1934,27,39,39,not_final
french,DuBellayJoachim,1522,1560,m,16,3,1549,27,2,1558,36,1,9,final
english,AmiriBaraka,1934,2014,m,20,4,1961,27,0,1995,61,0,23,not_final
french,DeRégnierHenri,1864,1936,m,20,3,1892,28,7,1900,36,16,16,not_final
german,BrentanoPoetry,1778,1842,m,19,3,1806,28,6,1826,48,16,20,not_final
german,OpitzPoetry,1597,1639,m,17,4,1625,28,2,1628,31,11,11,not_final
