"","author","language","generality","late.generality.diff"
"1","BrentanoPoetry","German","neither",0.00642204245844223
"2","CelanPoetry","German","neither",0.00175171336723658
"3","DrosteHuelshoffPoetry","German","neither",0.0139375017526528
"4","EichendorffPoetry","German","early",-0.000956710809905781
"5","GeorgePoetryNonTranslation","German","neither",0.0142851324200671
"6","GoethePoetryReducedMinusLarge","German","neither",0.0151319122162519
"7","GünderodePoetry","German","neither",0.0145908076403113
"8","HölderlinPoetry","German","neither",0.0313465762953983
"9","KarschPoetry","German","neither",0.0126831606888804
"10","KirschPoetry","German","neither",0.0195486267401892
"11","KlopstockPoetry","German","neither",0.0139358770839187
"12","LaskerSchuelerPoetry","German","early",0.000200996237384912
"13","MoerikePoetry","German","neither",0.0169281235406807
"14","OpitzPoetry","German","neither",0.00941515418982806
"15","RilkePoetry","German","neither",0.00860534334805312
"16","SachsPoetry","German","neither",0.00806899828576665
"17","SchillerPoetry","German","neither",0.0261191738369293
"18","TieckPoetry","German","neither",0.0217191230265381
"19","TraklPoetry","German","neither",0.00643115060131312
"20","ApollinaireGuillaume","French","neither",0.03874597366429
"21","AragonLouis","French","neither",0.0261276532582415
"22","AudetMartine","French","neither",0.0397068290181445
"23","BérangerPierreJeande","French","neither",0.0129335772683122
"24","BrossardNicole","French","neither",0.0205097167522202
"25","CharRene","French","neither",0.032835069256377
"26","ChedidAndree","French","neither",0.0802606912422473
"27","ClaudelPaul","French","neither",0.0269266748141071
"28","CocteauJean","French","late",0.0915006099269488
"29","CoppéeFrançois","French","neither",0.00806264704601409
"30","DeBanvilleTheodore","French","neither",0.0191606791104952
"31","DeLisleLeconte","French","neither",0.0137929698442812
"32","DeRégnierHenri","French","early",-0.00102925006142268
"33","DesbordesValmoreMarceline","French","neither",0.0297953020481351
"34","DeschampsEmile","French","neither",0.0402583682244774
"35","DuBellayJoachim","French","neither",0.0541154019258939
"36","ÉluardPaul","French","neither",0.0307512275625948
"37","GautierTheophile","French","neither",0.0157535577837734
"38","HugoVictor","French","late",0.0332307886712386
"39","JammesFrancis","French","neither",0.0398139907243673
"40","LaFontaineJeande","French","early",-0.003301586252069
"41","LasnierRina","French","neither",0.0611148975290069
"42","MeratAlbert","French","neither",0.027241997629444
"43","MichauxHenri","French","late",0.0380766896121441
"44","NoaillesAnnade","French","neither",0.0240464314559908
"45","NoelMarie","French","neither",0.0490616353995501
"46","PongeFrancis","French","neither",0.00674839540883837
"47","PrudhommeSully","French","neither",-0.00631426112159938
"48","RollinatMaurice","French","neither",0.00614527653077016
"49","RonsardPierrede","French","neither",0.0460952582905183
"50","VerhaerenÉmile","French","neither",0.00671497551526551
"51","VerlainePaul","French","neither",0.0247853694586905
"52","VivienRenee","French","neither",0.105199019986622
"53","AdrienneRich","English","neither",0.0498084283739652
"54","AlexanderPope","English","neither",0.0205931195846742
"55","AllenGinsberg","English","neither",0.0207215040242406
"56","AlYoung","English","neither",0.029694207113125
"57","AmiriBaraka","English","neither",0.0336027954526885
"58","ChristinaRossetti","English","late",0.0580847835628313
"59","EdnaMillay","English","neither",0.0678630941576543
"60","ElizabethBarrettBrowning","English","neither",0.104739616014112
"61","FeliciaHemans","English","neither",0.0595191459430787
"62","LangstonHughes","English","early",-0.0174778637560167
"63","Longfellow","English","neither",0.0340155340195522
"64","LordTennyson","English","neither",0.0350930075335904
"65","MaryRobinson","English","neither",0.00455233842488859
"66","MurielRukeyser","English","neither",0.0598736220122809
"67","PercyByssheShelley","English","neither",0.0245893195746674
"68","PhilipLarkin","English","early",-0.00458195615196136
"69","PhilipSidney","English","neither",0.0261072089482713
"70","SamuelTaylorColeridge","English","neither",0.0163376437852711
"71","SeamusHeaney","English","neither",0.0832101534155451
"72","SylviaPlath","English","late",0.0651709319938746
"73","TSEliot","English","neither",-0.00455052580686982
"74","WallaceStevens","English","neither",0.0425897405471628
"75","WandaColeman","English","neither",0.00838036816340876
"76","WHAuden","English","early",-0.0226866292850627
"77","WilliamButlerYeats","English","neither",0.0467358088091429
"78","WilliamCarlosWilliams","English","neither",0.0529638011646576
"79","WilliamWordsworth","English","neither",0.0099317046902245
