,author,language,irregularity,late.irregularity.difference,max.irregularity.window
3,AudetMartine_POS,French,late,0.26639625,0.8113207547
33,VivienRenee_POS,French,late,0.2046850966,0.8324742268
2,AragonLouis_POS,French,late,0.1715614719,0.9172932331
38,GeorgePoetryNonTranslation_POS,German,late,0.1650853453,0.8706624606
68,PhilipLarkin_POS,English,late,0.1515948179,0.0350877193
39,GoethePoetryReducedMinusLarge_POS,German,late,0.1509665412,0.74609375
31,VerhaerenÉmile_POS,French,late,0.1310403859,0.4277620397
57,AmiriBaraka_POS,English,late,0.1299367317,0.9142857143
25,NoaillesAnnade_POS,French,late,0.119067715,0.9723435226
71,SeamusHeaney_POS,English,late,0.1160724663,0.7755991285
62,LangstonHughes_POS,English,late,0.1133315702,0.9547581903
65,MaryRobinson_POS,English,late,0.1119128993,0.8255451713
76,WHAuden_POS,English,late,0.106781676,0.8284518828
42,KarschPoetry_POS,German,late,0.102617014,0.900990099
77,WilliamButlerYeats_POS,English,late,0.0986103979,0.8885245902
56,AlYoung_POS,English,late,0.096890103,0.8352941176
23,MeratAlbert_POS,French,late,0.0939596164,0.2889221557
58,ChristinaRossetti_POS,English,late,0.0915927529,0.809946714
28,PrudhommeSully_POS,French,late,0.0768438493,0.8320209974
14,DesbordesValmoreMarceline_POS,French,late,0.0752001605,0.7766233766
63,Longfellow_POS,English,late,0.0729174393,0.932885906
32,VerlainePaul_POS,French,late,0.0648923032,0.7756315007
13,DeRégnierHenri_POS,French,late,0.0641385265,0.9404761905
59,EdnaMillay_POS,English,late,0.0640071199,0.8635346756
16,DuBellayJoachim_POS,French,late,0.0627751498,0.7858627859
45,LaskerSchuelerPoetry_POS,German,neither,0.0612118482,0.8432835821
53,AdrienneRich_POS,English,late,0.0606429162,0.7796610169
9,CocteauJean_POS,French,late,0.0585060687,0.932038835
70,SamuelTaylorColeridge_POS,English,neither,0.0531077003,0.5689655172
20,JammesFrancis_POS,French,neither,0.0528147092,0.6885245902
27,PongeFrancis_POS,French,neither,0.046127371,0.7388888889
24,MichauxHenri_POS,French,neither,0.0459890689,0.1931818182
6,CharRene_POS,French,neither,0.0418347823,0.5605263158
44,KlopstockPoetry_POS,German,neither,0.0380917105,0.8733031674
55,AllenGinsberg_POS,English,neither,0.0377426967,0.0097847358
12,DeLisleLeconte_POS,French,late,0.0367504821,0.0075
29,RollinatMaurice_POS,French,neither,0.034285414,0.6380753138
75,WandaColeman_POS,English,neither,0.0326468495,0.94
8,ClaudelPaul_POS,French,neither,0.0303176613,0.7811634349
34,BrentanoPoetry_POS,German,neither,0.0300885223,0.6732673267
22,LasnierRina_POS,French,neither,0.0291740516,0.006122449
60,ElizabethBarrettBrowning_POS,English,neither,0.0288670038,0.8673835125
79,WilliamWordsworth_POS,English,late,0.0287543683,0.0249187432
67,PercyByssheShelley_POS,English,neither,0.0287374121,0.8252788104
17,ÉluardPaul_POS,French,neither,0.0283874216,0.0017182131
73,TSEliot_POS,English,neither,0.0266973696,0.7985074627
4,BérangerPierreJeande_POS,French,neither,0.0255920195,0.770531401
46,MoerikePoetry_POS,German,neither,0.0237890917,0.452991453
54,AlexanderPope_POS,English,neither,0.019102675,0.3423423423
10,CoppéeFrançois_POS,French,neither,0.0189995507,0.3839285714
18,GautierTheophile_POS,French,neither,0.0153564751,0.0320699708
21,LaFontaineJeande_POS,French,neither,0.0139577253,0.5577464789
26,NoelMarie_POS,French,neither,0.0136368846,0.7763975155
50,SchillerPoetry_POS,German,neither,0.0119818801,0.7987804878
15,DeschampsEmile_POS,French,neither,0.0084560547,0.1928104575
64,LordTennyson_POS,English,neither,0.0075168612,0.5567010309
48,RilkePoetry_POS,German,neither,0.0064692053,0.116838488
66,MurielRukeyser_POS,English,neither,0.0050563472,0.8559837728
69,PhilipSidney_POS,English,neither,0.0028366341,0.534965035
40,GünderodePoetry_POS,German,neither,-0.0003200782,0.6774193548
43,KirschPoetry_POS,German,neither,-0.0113348311,0.0064516129
47,OpitzPoetry_POS,German,neither,-0.0126881104,0.19921875
78,WilliamCarlosWilliams_POS,English,neither,-0.0143191818,0.0214917826
11,DeBanvilleTheodore_POS,French,neither,-0.0186863444,0.1408839779
1,ApollinaireGuillaume_POS,French,neither,-0.0195326006,0.5
37,EichendorffPoetry_POS,German,neither,-0.0208768836,0.4079696395
61,FeliciaHemans_POS,English,neither,-0.0269747806,0.0395738204
41,HölderlinPoetry_POS,German,neither,-0.0292701727,0.015503876
51,TieckPoetry_POS,German,neither,-0.035265536,0.2237569061
30,RonsardPierrede_POS,French,early,-0.0513871506,0.2653061224
35,CelanPoetry_POS,German,neither,-0.0551270949,0.3760217984
19,HugoVictor_POS,French,early,-0.0724133494,0.4194915254
72,SylviaPlath_POS,English,early,-0.0758449025,0.2412698413
36,DrosteHuelshoffPoetry_POS,German,early,-0.097019033,0.2465753425
7,ChedidAndree_POS,French,neither,-0.1093116053,0.2942942943
74,WallaceStevens_POS,English,early,-0.1123908562,0.2993630573
49,SachsPoetry_POS,German,early,-0.1655176346,0.0633802817
5,BrossardNicole_POS,French,early,-0.1717887745,0.1725
52,TraklPoetry_POS,German,early,-0.2073348934,0.006993007
