,author,language,richness,late.richness.difference
2,CelanPoetry,german,late,0.111
41,LasnierRina,french,late,0.063
12,LaskerSchuelerPoetry,german,late,0.052
15,RilkePoetry,german,late,0.045
16,SachsPoetry,german,late,0.041
39,JammesFrancis,french,late,0.041
76,WHAuden,english,late,0.039
18,TieckPoetry,german,late,0.036
68,PhilipLarkin,english,late,0.035
62,LangstonHughes,english,late,0.029
14,OpitzPoetry,german,late,0.025
40,LaFontaineJeande,french,late,0.024
75,WandaColeman,english,late,0.024
43,MichauxHenri,french,late,0.023
10,KirschPoetry,german,late,0.022
13,MoerikePoetry,german,late,0.02
23,BérangerPierreJeande,french,late,0.019
3,DrosteHuelshoffPoetry,german,late,0.018
37,GautierTheophile,french,late,0.017
11,KlopstockPoetry,german,late,0.016
9,KarschPoetry,german,late,0.014
28,CocteauJean,french,late,0.014
55,AllenGinsberg,english,neither,0.013
22,AudetMartine,french,late,0.011
27,ClaudelPaul,french,neither,0.011
57,AmiriBaraka,english,neither,0.01
7,GünderodePoetry,german,neither,0.009
29,CoppéeFrançois,french,late,0.009
61,FeliciaHemans,english,neither,0.009
31,DeLisleLeconte,french,neither,0.008
33,DesbordesValmoreMarceline,french,neither,0.008
49,RonsardPierrede,french,neither,0.008
63,Longfellow,english,neither,0.008
51,VerlainePaul,french,neither,0.006
71,SeamusHeaney,english,neither,0.006
77,WilliamButlerYeats,english,neither,0.006
79,WilliamWordsworth,english,neither,0.006
50,VerhaerenÉmile,french,neither,0.005
78,WilliamCarlosWilliams,english,neither,0.005
1,BrentanoPoetry,german,neither,0.003
6,GoethePoetryReducedMinusLarge,german,neither,0.003
32,DeRégnierHenri,french,neither,0.003
53,AdrienneRich,english,neither,0.003
59,EdnaMillay,english,neither,0.003
69,PhilipSidney,english,neither,0.003
26,ChedidAndree,french,neither,0.002
24,BrossardNicole,french,neither,0.001
4,EichendorffPoetry,german,neither,0
42,MeratAlbert,french,neither,0
48,RollinatMaurice,french,neither,0
20,ApollinaireGuillaume,french,neither,-0.001
70,SamuelTaylorColeridge,english,neither,-0.001
38,HugoVictor,french,neither,-0.002
34,DeschampsEmile,french,neither,-0.003
21,AragonLouis,french,neither,-0.005
25,CharRene,french,neither,-0.005
54,AlexanderPope,english,neither,-0.005
47,PrudhommeSully,french,neither,-0.006
58,ChristinaRossetti,english,neither,-0.006
74,WallaceStevens,english,neither,-0.007
30,DeBanvilleTheodore,french,neither,-0.008
60,ElizabethBarrettBrowning,english,neither,-0.008
46,PongeFrancis,french,neither,-0.01
56,AlYoung,english,neither,-0.01
45,NoelMarie,french,neither,-0.01
52,VivienRenee,french,neither,-0.012
5,GeorgePoetryNonTranslation,german,neither,-0.014
67,PercyByssheShelley,english,early,-0.017
36,ÉluardPaul,french,early,-0.018
44,NoaillesAnnade,french,early,-0.023
17,SchillerPoetry,german,early,-0.028
35,DuBellayJoachim,french,early,-0.03
65,MaryRobinson,english,early,-0.036
73,TSEliot,english,early,-0.042
19,TraklPoetry,german,early,-0.042
8,HölderlinPoetry,german,early,-0.043
64,LordTennyson,english,early,-0.045
66,MurielRukeyser,english,early,-0.056
72,SylviaPlath,english,early,-0.133
