"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"1",1,"1881_0000600.txt","1881_0000001.txt",15.5104909193133,300,299,0.00334448160535117,0.00334448160535117,2,NA
"3",3,"1881_0000900.txt","1881_0000600.txt",23.3077602507633,300,300,0,0,1,NA
"4",4,"1881_0001200.txt","1881_0000300.txt",21.0359003166702,300,300,0,0,3,NA
"5",5,"1881_0001500.txt","1881_0000001.txt",17.5062392489379,300,299,0.00334448160535117,0.00334448160535117,5,NA
"6",6,"1881_0001800.txt","1881_0000300.txt",17.3613772705442,300,300,0,0,5,NA
"8",8,"1881_0002100.txt","1881_0000001.txt",19.5070173873624,299,299,0,0,7,NA
"9",9,"1881_0002400.txt","1881_0000300.txt",11.2143184556278,300,300,0,0,7,NA
"11",11,"1881_0002700.txt","1881_0001200.txt",21.6723478335648,300,300,0,0,5,NA
"12",12,"1881_0003000.txt","1881_0000001.txt",28.1584449974405,300,299,0.00334448160535117,0.00334448160535117,10,NA
"14",14,"1881_0003300.txt","1881_0003000.txt",24.2702910128446,300,300,0,0,1,5.15
"15",15,"1881_0003600.txt","1881_0000300.txt",15.7009361935835,300,300,0,0,11,5.5
"17",17,"1881_0003900.txt","1881_0003000.txt",31.711234651814,300,300,0,0,3,6.05
"19",19,"1881_0004200.txt","1881_0003900.txt",22.3627530662983,300,300,0,0,1,6.05
"20",20,"1881_0004500.txt","1881_0004200.txt",22.9686430669506,300,300,0,0,1,5.95
"22",22,"1881_0004800.txt","1881_0003300.txt",17.1749750487152,300,300,0,0,5,6.1
"24",24,"1881_0005100.txt","1881_0003600.txt",17.8805368334028,299,300,-0.00334448160535117,0.00334448160535117,5,6.65
"25",25,"1881_0005400.txt","1881_0003900.txt",22.1513870325452,300,300,0,0,5,6.75
"27",27,"1881_0005700.txt","1881_0003900.txt",27.3272048092646,300,300,0,0,6,7.65
"28",28,"1881_0006000.txt","1881_0001200.txt",19.0832955436668,300,300,0,0,16,8.4
"29",29,"1881_0006300.txt","1881_0005100.txt",15.0849950063537,300,299,0.00334448160535117,0.00334448160535117,4,9.15
"30",30,"1881_0006600.txt","1881_0003900.txt",27.0413867803447,300,300,0,0,9,9.1
"31",31,"1881_0006900.txt","1881_0003300.txt",12.6021438999369,300,300,0,0,12,9.95
"32",32,"1881_0007200.txt","1881_0006300.txt",15.7671429587739,300,300,0,0,3,11.05
"34",34,"1881_0007500.txt","1881_0006600.txt",14.8017328818585,300,300,0,0,3,12.05
"36",36,"1881_0007800.txt","1881_0005400.txt",10.8731975547194,300,300,0,0,8,13.25
"37",37,"1881_0008100.txt","1881_0002700.txt",12.5999065969534,300,300,0,0,18,14.2
"38",38,"1881_0008400.txt","1881_0005700.txt",9.84931441302916,300,300,0,0,9,15.25
