,x,label
1,Roland Barthes,Roland Barthes
2,James Joyce’s Ulysses,James Joyce
4,Alan Liu,Alan Liu
5,Pierre Simon Laplace,Pierre Simon Laplace
6,Johann Lambert,Johann Lambert
7,Joseph Lagrange,Joseph Lagrange
8,Thomas Bayes,Thomas Bayes
9,Carl Friedrich Gauss,Carl Friedrich Gauss
10,Pearson,Karl Pearson
11,Alfred Quetelet,Alfred Quetelet
12,Francis Galton,Francis Galton
13,Wilhelm Lexis,Wilhelm Lexis
15,Wilhelm,Wilhelm Lexis
16,Lexis,Wilhelm Lexis
17,Robert Jauss’s,Robert Jauss
18,Achim von Arnim’s,Achim von Arnim
19,Karl Pearson,Karl Pearson
20,Goethe’s Wilhelm Meisters Wanderjahre Virginia Woolf’s Mrs. Dalloway,Virginia Woolf
21,Jules Verne’s De,Jules Verne
22,Dante’s Vita Nuova,Dante
24,Walter Benjamin,Walter Benjamin
25,Gertrude Stein’s,Gertrude Stein
27,Robert Curtius,Ernst Robert Curtius
28,Wanda Coleman’s,Wanda Coleman
29,Erich Auerbach,Erich Auerbach
30,Virginia Woolf,Virginia Woolf
31,Auerbach,Erich Auerbach
32,Stephen Greenblatt,Stephen Greenblatt
33,Catherine Gallagher,Catherine Gallagher
34,Shakespeare,Shakespeare
35,Susan Stewart,Susan Stewart
36,Jane Austen,Jane Austen
37,Paul de,Paul de Man
38,Graham While,Jorey Graham
39,Paul Scheerbart’s Lesabéndio,Paul Scheerbart
40,Walter Benjamin’s,Walter Benjamin
41,Young Werther, Werther
42,William Carlos Williams,William Carlos Williams
43,Paul Muldoon’s,Paul Muldoon
45,Edwin Morgan’s,Edwin Morgan
46,Ted Hughes,Ted Hughes
47,Angela Jackson,Angela Jackson
48,Whitman,Walt Whitman
49,Cecil Alexander,Cecil Alexander
50,Kenneth McClane’s,Kenneth McClane
51,Matthew Jockers,Matthew Jockers
52,Carl Sandburg,Carl Sandburg
53,John Daniels,John Daniels
54,Pamela Alexander.,Pamela Alexander
55,Robert Fitzgerald’s,Robert Fitzgerald
57,William Stafford’s,William Stafford
58,Walt Whitman,Walt Whitman
59,Jane Austen’s Pride,Jane Austen
60,Don Quixote,Don Quixote
61,Grimmelshausen’s Simplicissimus,Grimmelshausen
62,Scudery’s Artamène,Scudery
63,Jane Austen’s Sense,Jane Austen
64,Sensibility,Sensibility
65,James O’Donnell,James O’Donnell
66,Ann Radcliffe,Ann Radcliffe
67,Scott Fitzgerald,Scott Fitzgerald
69,Wells,H.G. Wells
70,Thomas Peacock,Thomas Peacock
71,Nightmare Abbey,Nightmare Abbey
72,Mary Ward,Mary Ward
73,Robert Elsmere,Robert Elsmere
74,Mark Twain,Mark Twain
75,Tom Sawyer,Tom Sawyer
76,James Joyce,James Joyce
77,Maria Edgeworth,Maria Edgeworth
78,Castle Rackrent,Castle Rackrent
79,George Eliot,George Eliot
80,Alexander,Alexander
