"","chap1.txt","chap2.txt","chap3.txt","chap4.txt","chap5.txt","chap6.txt"
"a",173,229,296,209,245,295
"à",0,5,0,0,0,0
"abbreviated",0,0,0,1,0,0
"ability",1,0,3,3,1,2
"able",1,2,4,4,3,1
"abnormally",0,0,0,0,2,0
"abounds",0,0,0,0,0,1
"about",19,48,22,42,42,49
"above",6,3,9,6,8,5
"absence",3,0,0,0,2,3
"absit",0,1,0,0,0,0
"absolute",1,0,0,0,0,0
"absoluteness",1,0,0,0,0,0
"absorbed",1,0,0,0,0,0
"abstract",0,0,1,1,0,5
"abstraction",2,0,0,0,1,5
"abstractions",1,1,0,0,0,2
"abundance",3,0,0,0,2,0
"abundant",0,1,0,0,1,0
"abyss",0,0,2,0,0,0
"ac",0,0,0,0,0,1
"accentuate",1,0,0,0,0,0
"accentuated",0,0,0,0,1,0
"accept",0,0,0,0,1,0
"acceptable",0,0,0,0,0,2
"access",1,0,2,1,0,1
"accessible",1,0,0,0,0,0
"accessing",0,1,1,0,0,0
"accidental",0,0,0,0,1,0
"accidentia",0,0,1,0,0,0
"accidents",0,0,1,0,0,0
"accompanied",0,3,2,0,1,0
"accompany",1,1,0,1,0,0
"accompanying",0,0,1,0,0,0
"accomplishment",0,0,0,0,2,0
"accord",1,0,0,0,1,0
"according",1,4,11,4,6,9
"account",0,2,1,2,3,1
"accountability",1,0,0,0,0,0
"accounted",1,0,2,1,0,0
"accounting",0,0,0,1,1,1
"accounts",1,0,1,1,0,0
"accumulate",0,0,1,0,0,0
"accumulation",1,1,0,0,0,0
"accuracy",0,0,0,12,3,0
"accurate",0,0,0,1,1,0
"accurately",0,0,0,1,0,0
"accursed",4,0,0,0,0,0
"ach",0,1,0,0,0,0
"achieved",0,2,0,1,0,1
"achieving",0,0,1,0,0,1
"aching",0,0,0,0,1,0
"acknowledge",0,0,0,0,1,0
"acknowledging",0,0,0,0,0,1
"acknowledgment",0,0,1,0,1,1
"acoustic",4,0,0,0,0,0
"acquaintance",0,0,1,0,0,0
"acquire",0,0,1,0,0,0
"across",6,5,8,10,12,14
"act",5,1,5,4,5,4
"action",0,0,1,0,1,0
"actions",1,1,0,1,2,0
"activate",0,0,1,0,0,0
"activates",0,0,1,0,0,0
"activation",0,0,1,0,0,0
"active",2,0,0,1,0,0
"activity",0,0,0,0,1,0
"acts",0,0,0,6,1,0
"actual",0,0,2,3,0,0
"actually",0,2,0,0,0,1
"ad",0,1,1,0,0,0
"adapt",0,1,0,0,0,0
"add",0,2,1,0,0,0
"added",0,1,0,0,0,0
"adding",1,0,0,0,0,1
"addition",1,0,2,1,0,0
"additions",0,0,0,0,0,1
"address",0,0,0,0,1,0
"addressed",0,0,0,1,0,0
"adds",0,0,0,0,1,0
"addup",0,0,0,0,0,1
"adept",0,0,0,0,2,0
"adhere",0,0,0,0,1,0
"adhuc",0,1,0,0,0,0
"adjacent",0,1,0,0,0,0
"adjective",0,0,0,1,0,0
"adjectives",1,0,0,0,1,0
"admirable",0,0,0,0,1,0
"admit",0,0,0,1,0,0
"admits",0,1,0,0,0,0
"adopt",0,0,0,0,0,1
"adornoian",0,0,0,0,0,1
"adornos",0,0,0,0,0,2
"adrienne",0,0,0,0,0,1
"adrift",0,0,0,0,0,1
"adult",0,1,0,0,3,0
"advance",0,0,0,1,0,0
"advantage",0,0,1,1,0,1
"advantages",0,0,0,2,0,0
"adventure",0,1,0,1,0,0
"adverbs",1,0,0,0,0,0
"adversus",0,1,0,0,0,0
"advice",0,0,0,1,0,0
"advised",0,0,1,0,0,0
"aesthetic",1,0,11,0,1,0
"aesthetics",0,0,2,0,0,0
"aetate",0,1,0,0,0,0
"aetatis",0,1,0,0,0,0
"aeternum",0,1,0,0,0,0
"affair",0,1,0,0,1,0
"affairs",0,0,1,0,0,0
"affect",0,0,0,2,1,0
"affectionate",0,0,1,0,0,0
"affective",0,0,0,1,0,0
"affiliated",0,0,1,0,0,0
"affinities",0,1,0,0,0,1
"affinity",0,1,0,0,0,1
"affirmation",0,0,0,0,0,1
"affirming",0,0,0,0,0,1
"affirms",0,0,0,0,0,1
"afflictions",1,0,0,0,0,0
"afford",0,0,0,0,0,1
"africanamerican",3,0,0,0,0,1
"after",10,5,3,4,3,11
"afterlife",0,0,0,0,2,0
"aftermath",0,0,1,0,0,0
"afterwards",0,0,0,0,2,0
"again",2,5,3,2,12,1
"against",0,2,0,1,3,4
"agatha",0,0,0,0,0,1
"age",3,0,1,0,0,8
"agency",0,0,0,1,4,2
"agential",0,0,0,0,3,0
"agents",0,0,0,0,2,0
"ages",0,0,0,0,0,5
"aggregate",1,0,0,0,0,0
"aggregated",0,0,0,0,0,1
"agile",0,0,1,0,0,0
"aging",0,0,0,0,0,4
"agitated",0,0,0,0,2,0
"agitation",0,0,4,0,0,0
"ago",4,2,0,1,2,0
"agony",2,0,0,0,3,0
"agree",0,0,1,0,0,1
"agricola",0,0,2,0,0,0
"agricolas",0,0,2,0,0,0
"ah",0,1,0,0,0,0
"ahead",1,0,1,0,0,0
"aided",0,1,0,0,0,0
"aim",1,2,3,1,1,0
"aimed",0,0,1,0,0,0
"aimlessness",0,0,0,1,0,0
"aims",0,0,0,0,0,1
"air",1,0,0,0,0,1
"akin",0,0,1,0,0,1
"al",0,0,0,0,0,1
"alas",0,0,1,0,0,0
"albeit",0,0,0,0,1,0
"albrecht",0,0,1,0,0,0
"alcotts",0,0,0,0,2,0
"alex",0,1,0,0,1,0
"alexander",1,0,0,0,0,0
"alfred",0,0,0,0,0,1
"algorithm",0,0,0,4,0,0
"algorithms",0,0,0,1,1,1
"alias",0,0,0,0,1,0
"aliases",0,0,0,0,2,0
"alice",0,0,0,1,0,0
"align",0,0,0,0,1,0
"aligned",0,1,1,0,1,1
"aligning",0,0,1,0,1,1
"alignment",0,1,0,1,0,1
"aligns",0,0,1,1,1,0
"alios",0,0,1,0,0,0
"alive",0,0,1,0,0,0
"all",24,14,21,12,20,36
"allegorized",0,1,0,0,0,0
"allergy",1,0,0,0,0,0
"alliteration",0,0,0,0,0,1
"alliterations",0,0,0,0,0,1
"alliterative",0,0,0,0,0,2
"allocation",0,0,0,1,0,0
"allow",0,0,3,6,4,4
"allowed",0,0,1,0,0,0
"allowing",0,0,1,0,1,1
"allows",7,7,9,10,6,5
"allure",0,0,1,0,0,0
"alluring",0,0,1,0,0,0
"alluringly",0,0,1,0,0,0
"almost",1,3,0,1,1,4
"alone",1,1,5,1,2,1
"along",1,2,5,3,5,3
"alongside",0,1,2,0,1,0
"alphonse",0,1,0,0,0,0
"already",1,1,0,3,2,3
"als",0,1,0,0,0,0
"also",31,26,29,13,32,24
"alte",0,1,0,0,0,0
"alter",0,1,1,1,0,0
"altered",0,1,0,0,0,0
"alterities",0,0,1,0,0,0
"alternate",0,0,1,0,0,0
"alternative",0,0,1,1,1,0
"although",0,0,1,0,0,0
"altogether",0,0,1,1,1,0
"always",4,2,4,1,5,2
"am",5,3,7,3,0,5
"amalgamation",1,0,0,0,0,0
"amanda",0,0,6,0,1,0
"amandas",0,0,1,0,0,0
"amazement",0,0,0,0,2,0
"ambiguity",2,0,1,1,0,1
"ambiguous",1,0,0,2,1,0
"ambiguously",0,0,0,1,0,0
"ambiverts",0,0,0,0,1,0
"american",3,0,0,0,0,1
"amiable",0,0,0,0,2,0
"amidst",0,0,1,0,0,1
"amiri",3,0,0,0,0,2
"amitié",0,0,2,0,0,0
