"","park1.txt","park2.txt","park3.txt","park4.txt","park5.txt","park6.txt"
"a",227,404,628,100,85,57
"à",1,3,0,0,0,1
"ab",0,0,0,3,0,0
"abbey",0,1,0,0,0,0
"abducted",0,0,1,0,0,0
"aber",0,0,5,0,0,0
"aberration",0,0,1,0,0,0
"ability",2,2,6,0,0,0
"able",0,7,3,0,1,1
"abnormally",0,0,0,1,0,0
"about",37,51,38,20,26,10
"above",8,9,10,1,4,4
"abovebelow",1,0,0,0,0,0
"abroad",0,0,0,0,1,0
"abs",0,0,0,1,0,0
"absehen",0,0,1,0,0,0
"absence",1,2,9,0,2,0
"absent",0,0,2,0,0,1
"abslengthwhichwork",0,0,0,1,0,0
"absolute",0,0,9,0,0,0
"absorbed",2,0,0,0,0,0
"absphysratio",0,0,0,1,0,0
"absphysratioabsphys",0,0,0,1,0,0
"abstract",0,1,2,10,2,0
"abstraction",0,0,4,13,1,3
"abstractions",1,0,3,1,0,1
"abstractly",0,0,0,1,0,0
"abstractness",0,0,0,1,0,0
"abundance",4,0,0,0,0,0
"abundant",0,1,0,0,0,0
"abuse",0,0,1,0,0,0
"abused",0,0,1,0,0,0
"access",0,0,4,0,0,0
"accessible",0,0,0,2,0,0
"accident",0,1,0,0,0,0
"accidents",0,0,1,0,0,0
"accomapnied",0,1,0,0,0,0
"accompanied",0,0,4,1,0,0
"accompanies",1,0,0,0,0,0
"accompany",2,2,0,1,0,0
"accompanying",0,0,0,0,0,1
"accomplished",0,0,0,0,1,0
"according",2,7,11,2,3,3
"accordingly",0,1,0,0,0,0
"account",3,9,2,0,3,0
"accounted",0,1,1,0,1,0
"accounting",0,0,0,0,0,1
"accounts",1,0,1,0,0,0
"accrue",1,0,2,0,0,1
"accrued",0,0,1,0,0,0
"acculturation",0,1,0,0,0,0
"accumulate",0,3,3,0,0,0
"accumulates",1,0,0,0,0,0
"accumulation",1,1,0,0,0,0
"accuracy",0,0,0,1,0,1
"accursed",1,0,0,0,0,0
"ach",1,0,2,0,0,0
"achieve",0,1,0,4,0,0
"achieved",0,2,0,0,0,0
"achieves",0,0,1,0,0,0
"achillean",1,0,0,0,0,0
"achimbettinevonclemensbrentanosfrühlingskranznoveltxt",0,0,3,0,0,0
"acknowledged",0,0,0,0,1,0
"acknowledgment",0,0,0,0,1,0
"acoustic",0,0,0,0,0,1
"acquire",0,1,0,0,0,0
"across",4,8,21,8,2,3
"act",3,1,11,2,1,0
"acted",0,0,0,0,2,0
"action",3,1,4,0,0,0
"actionable",0,0,1,0,0,0
"actions",1,0,0,0,5,0
"activated",0,0,2,0,0,0
"actors",2,0,0,0,0,0
"acts",0,0,4,0,2,0
"actual",0,3,3,1,0,0
"actually",1,1,0,0,0,0
"add",1,2,7,0,0,1
"added",1,0,0,0,1,0
"addition",2,1,0,2,1,0
"additive",0,0,1,0,0,0
"address",0,1,0,2,0,0
"addressed",0,0,0,2,0,0
"addtrue",0,0,0,2,0,0
"adeline",0,0,0,0,1,0
"adept",1,0,0,0,1,0
"adhere",0,0,2,0,0,0
"adheres",0,0,4,0,0,0
"adhering",1,0,0,0,0,0
"adjacency",0,0,1,0,0,0
"adjacent",0,0,4,0,0,0
"adjective",0,0,0,0,1,0
"adjectives",0,0,1,0,2,1
"admire",0,0,1,0,0,0
"admired",0,0,0,0,1,0
"admiring",0,0,0,0,1,0
"adrian",0,0,0,0,1,0
"advantage",0,2,0,0,0,0
"advantages",0,0,0,1,0,0
"adventures",0,0,1,0,0,0
"adverb",0,0,0,1,0,1
"adverbs",0,0,0,0,0,1
"ae",1,0,0,0,0,0
"aerial",1,0,0,0,0,0
"aesthetic",3,0,1,0,0,0
"aesthetically",2,0,0,0,0,0
"aestheticization",1,0,0,0,0,0
"aestheticized",1,0,0,0,0,0
"aesthetics",1,0,2,0,0,0
"affairstk",0,0,1,0,0,0
"affect",0,3,2,2,2,0
"affected",0,0,1,0,0,0
"affection",0,0,1,0,0,0
"affective",0,1,0,6,0,0
"affiliations",3,0,0,0,0,0
"affinities",3,0,0,0,0,0
"affinity",0,2,0,0,0,0
"affirmatives",0,0,2,0,0,0
"affirming",0,0,0,0,0,2
"afford",0,0,0,0,0,1
"affords",0,0,3,0,0,0
"afloat",2,0,0,0,0,0
"afraid",0,2,1,0,0,0
"africanamerican",1,0,0,0,0,0
"after",8,2,5,1,2,2
"aftermath",0,0,2,0,0,0
"again",14,6,1,1,5,2
"against",0,4,3,2,1,2
"age",1,3,1,0,0,0
"aged",0,0,0,0,0,1
"agency",0,1,14,0,5,0
"agent",0,0,1,0,1,0
"agential",0,0,2,0,1,0
"agents",0,0,4,0,1,0
"ages",0,0,0,0,0,1
