authors,Freq
"Shakespeare, William (1564-1616)",138
"Milton, John (1608-1674)",33
"Wordsworth, William (1770-1850)",33
"Dickens, Charles (1812-1870)",32
"Clemens, Samuel (1835-1910)",29
Dante (1265-1321),23
"Eliot, T. S. (1888-1965)",22
"James, Henry, Jr. (1843-1916)",20
"Pope, Alexander (1688-1744)",20
"Hardy, Thomas (1840-1928)",19
"Faulkner, William (1897-1962)",17
"Dryden, John (1631-1700)",16
"Marvell, Andrew (1621-1678)",16
"Johnson, Samuel (1709-1784)",15
"Melville, Herman (1819-1891)",15
"Whitman, Walt (1819-1892)",15
"Jonson, Ben (1572-1637)",14
"Browning, Robert (1812-1889)",13
"Camus, Albert (1913-1960)",13
"Hawthorne, Nathaniel (1804-1864)",13
"Poe, Edgar Allan (1809-1849)",13
"Cervantes Saavedra, Miguel de (1547-1616)",12
"Conrad, Joseph (1857-1924)",12
"Eliot, George (1819-1880)",12
"Hemingway, Ernest (1899-1961)",12
"Shelley, Percy Bysshe (1792-1822)",12
"Spenser, Edmund (1552?-1599)",12
"Coleridge, Samuel Taylor (1772-1834)",11
"Emerson, Ralph Waldo (1803-1882)",10
"Goethe, Johann Wolfgang von (1749-1832)",10
"Hopkins, Gerard Manley (1844-1889)",10
"Machiavelli, Niccolò (1469-1527)",10
"Sterne, Laurence (1713-1768)",10
"Blake, William (1757-1827)",9
"Byron, George Gordon Byron, Baron (1788-1824)",9
"Lawrence, D. H. (1885-1930)",9
"Tennyson, Alfred Tennyson, Baron (1809-1892)",9
"Arnold, Matthew (1822-1888)",8
"Beckett, Samuel (1906-1989)",8
"Brecht, Bertolt (1898-1956)",8
"Calderón de la Barca, Pedro (1600-1681)",8
"Frost, Robert (1874-1963)",8
"Gide, André (1869-1951)",8
"Keats, John (1795-1821)",8
"Marlowe, Christopher (1564-1593)",8
"Pérez Galdós, Benito (1843-1920)",8
"Sidney, Sir Philip (1554-1586)",8
"Baudelaire, Charles (1821-1867)",7
"Chapman, George (1559?-1634)",7
"Dürrenmatt, Friedrich (1921-1990)",7
"Lowry, Malcolm (1909-1957)",7
"Meredith, George (1828-1909)",7
"Montaigne, Michel Eyquem de (1533-1592)",7
"O'Neill, Eugene (1888-1953)",7
"Sartre, Jean-Paul (1905-1980)",7
"Thoreau, Henry David (1817-1862)",7
"Austen, Jane (1775-1817)",6
"Defoe, Daniel (1660-1731)",6
"Hesse, Hermann (1877-1962)",6
"Proust, Marcel (1871-1922)",6
"Williams, William Carlos (1883-1963)",6
"Albee, Edward (1928-  )",5
"Auden, W. H. (1907-1973)",5
"Augustine, Saint (354-430)",5
"Crane, Hart (1899-1932)",5
"Flaubert, Gustave (1821-1880)",5
"Forster, E. M. (1879-1970)",5
"Gay, John (1685-1732)",5
"Herbert, George (1593-1633)",5
"Hoffmann, E. T. A. (1776-1822)",5
"Hofmannsthal, Hugo von (1874-1929)",5
"Mann, Thomas (1875-1955)",5
"Smollett, Tobias (1721-1771)",5
"Stevens, Wallace (1879-1955)",5
"Brontë, Charlotte (1816-1855)",4
"Corneille, Pierre (1606-1684)",4
"Croce, Benedetto (1866-1952)",4
"Diderot, Denis (1713-1784)",4
"Ellison, Ralph (1914-1994)",4
"Fielding, Henry (1707-1754)",4
"García Lorca, Federico (1898-1936)",4
"Genet, Jean (1907-1986)",4
"Greene, Graham (1904-1991)",4
"Hobbes, Thomas (1588-1679)",4
"Howells, William Dean (1837-1920)",4
"Irving, Washington (1783-1859)",4
King Lear (1605-1606),4
"Locke, John (1632-1704)",4
"Lovelace, Richard (1618-1658)",4
"Lydgate, John (1370?-1451?)",4
"Mallarmé, Stéphane (1842-1898)",4
"Mill, John Stuart (1806-1873)",4
"More, Sir Thomas (1478-1535)",4
"Newman, John Henry, Cardinal (1801-1890)",4
"Orwell, George (1903-1950)",4
"Pinter, Harold (1930-2008)",4
"Quevedo y Villegas, Francisco Gómez de (1580-1645)",4
"Robinson, Edwin Arlington (1869-1935)",4
